,Year,Reciever,Grant size (DKK),Description,Institution,Grant Number,Project Category
1917,"År
2018",Alexander Odgaard Heape,"Beløb
DKK 1,188,592",Trust and the Social Dimension of Rationality,"Institution
N/A",1918,Reintegration Fellowships
1918,"År
2018",Andreas Christopher Kretschmann,"Beløb
DKK 385,000",Novel microfluidic in vitro assays for the identification of hormone disrupting xenobiotics – advanced cell imaging with a fluorescence microscope,"Institution
University of Copenhagen",1919,Research Infrastructure
1919,"År
2018",Meike Burow,"Beløb
DKK 1,000,000",High-Throughput Mass Spectrometry for Next Generation Metabolomics,"Institution
University of Copenhagen",1920,Research Infrastructure
1920,"År
2018",Tom Vosch,"Beløb
DKK 400,000",Instrumentation for X-ray fluorescence experiments.,"Institution
University of Copenhagen",1921,Research Infrastructure
1921,"År
2018",Kirstine Berg-Sørensen,"Beløb
DKK 350,000",Quantum sensing inside live cells,"Institution
Technical University of Denmark",1922,Research Infrastructure
1922,"År
2018",Peter Kastberg,"Beløb
DKK 60,000",The Dark Side of Communication,"Institution
Aalborg University",1923,Conferences
1923,"År
2018",Joanna Jemielniak,"Beløb
DKK 57,400","Nordic-Chinese Forum for International Economic Law: China, Sustainable Development and Policy-Making","Institution
University of Copenhagen",1924,Conferences
1924,"År
2018",Marianne Glasius,"Beløb
DKK 1,000,000",Instrument facility for molecular understanding of plant-environment interactions,"Institution
Aarhus University",1925,Research Infrastructure
1925,"År
2018",Ida Hartvig,"Beløb
DKK 425,000",Fungal interactions as a driver of evolution and speciation in orchids,Institution,1926,Internationalisation Fellowships
1926,"År
2018",Joachim Dahl Thomsen,"Beløb
DKK 350,000",Enabling integration of 2D and 3D materials,Institution,1927,Internationalisation Fellowships
1927,"År
2018",Rasmus Dyring,"Beløb
DKK 30,000",Sensus Communis: Exploring the Ontologies of Coexistence,"Institution
Aarhus University",1928,Conferences
1928,"År
2018",Pil Pedersen,"Beløb
DKK 425,000",RewildECO - Cross-scale assessment of Rewilding Efforts on Ecosystem Biodiversity and Resilience,Institution,1929,Internationalisation Fellowships
1929,"År
2018",Bo Thamdrup,"Beløb
DKK 1,000,000",Disentangling microbial sources of nitrous oxide through dual isotope tracing and multicollector isotope ratio mass spectrometry,"Institution
University of Southern Denmark",1930,Research Infrastructure
1930,"År
2018",Fernando Racimo,"Beløb
DKK 4,470,185",Taking the past into the future:Hominin paleogenomic inference in the light of deep learning,"Institution
University of Copenhagen",1931,Semper Ardens: Accelerate
1931,"År
2018",Rane Willerslev,"Beløb
DKK 896,000",Danmarks Kirker,"Institution
Nationalmuseet",1932,Publication
1932,"År
2018",Lars Allan Larsen,"Beløb
DKK 330,000",Exploring Cardiovascular Developmental Mechanisms using Zebrafish,"Institution
University of Copenhagen",1933,Research Infrastructure
1933,"År
2018",Hans Brix,"Beløb
DKK 60,000",The 8th International Symposium on Wetland Pollutant Dynamics and Control – WETPOL2019,"Institution
Aarhus University",1934,Conferences
1934,"År
2018",Irene Tamborra,"Beløb
DKK 4,497,596",Neutrino Astrophysics,"Institution
University of Copenhagen",1935,Semper Ardens: Accelerate
1935,"År
2018",Martin Brandl,"Beløb
DKK 860,000",Multi-angle light scattering detector for existing Asymmetrical Flow Field-Flow Fractionation (AF4) instrument,"Institution
University of Southern Denmark",1936,Research Infrastructure
1936,"År
2018",Anne Schou Reinholdt,"Beløb
DKK 425,000",Insight into atmospheric formation of hydroxyl radicals using infrared action spectroscopy,Institution,1937,Internationalisation Fellowships
1937,"År
2018",Henrik Gottfredsen,"Beløb
DKK 350,000",Quantum Effects in Porphyrin Nanostructures.,Institution,1938,Internationalisation Fellowships
1938,"År
2018",Mathias Danbolt,"Beløb
DKK 4,653,423",The Art of Nordic Colonialism: Writing Transcultural Art Histories,"Institution
University of Copenhagen",1939,Semper Ardens: Accelerate
1939,"År
2018",Shai Dothan,"Beløb
DKK 26,800",Who is Afraid of the International Criminal Court? Interdisciplinary Conference on Deterrence in International Criminal Justice,"Institution
University of Copenhagen",1940,Conferences
1940,"År
2018",Cornelis Johannes Pieter Grimmelikhuijzen,"Beløb
DKK 190,000",Deorphanization of G protein-coupled receptors (GPCRs) from the model beetle and pest Tribolium castaneum,"Institution
University of Copenhagen",1941,Research Infrastructure
1941,"År
2018",Kim Thollund Mortensen,"Beløb
DKK 350,000",A Diversity-Oriented Synthesis for the Generation of Diverse Natural-like Compounds,Institution,1942,Internationalisation Fellowships
1942,"År
2018",Astrid Tranum Rømer,"Beløb
DKK 604,953",Magnetism in High-Tc Superconductors,"Institution
University of Copenhagen",1943,Reintegration Fellowships
1943,"År
2018",Trine Flensborg-Madsen,"Beløb
DKK 683,451",Early predictors of personality and intelligence.,"Institution
University of Copenhagen",1944,Monograph Fellowships
1944,"År
2018",Jan Kindberg Jacobsen,"Beløb
DKK 455,000",Danske udgravninger på Cæsars Forum i Rom,"Institution
Aarhus University",1945,"Field Trips / Research Stays < 100,000"
1945,"År
2018",Christian Tegner,"Beløb
DKK 425,000",Platinum group element analyses in the geosciences,"Institution
Aarhus University",1946,Research Infrastructure
1946,"År
2018",Dana Minbaeva,"Beløb
DKK 60,000",Academy of International Business,"Institution
Copenhagen Business School",1947,Conferences
1947,"År
2018",Christos Tsakas,"Beløb
DKK 1,883,318","The Northern and the Southern Enlargement in Historical Perspective: Scandinavian and Greek Responses to European Integration, 1960s–1970s.","Institution
""Danish Institute at Athens (housing commitment)""",1948,Postdoctoral Fellowship at the Danish Institute at Athens
1948,"År
2018",Derek Beach,"Beløb
DKK 800,700",Studying mechanisms in the social sciences,"Institution
Aarhus University",1949,Monograph Fellowships
1949,"År
2018",Benjamin Ask Popp-Madsen,"Beløb
DKK 437,500",Beyond Militant Democracy: Popularizing the Defense of Democracy in Times of Populism,Institution,1950,Internationalisation Fellowships
1950,"År
2018",Det Danske Sprog- og Litteraturselskab,"Beløb
DKK 61,600","Corpus Philosophorum Danicorum Medii Aevi, vol. IX","Institution
Det Danske Sprog- og Litteraturselskab",1951,Publication
1951,"År
2018",Kaspar Thormod,"Beløb
DKK 1,294,907","Rethinking the Athenian Past and Present through Post-crisis Art, 2009–2019",Institution,1952,Internationalisation Fellowships
1952,"År
2018",Tone Roald,"Beløb
DKK 4,497,286",Aesthetic Experience. An empirical investigation in phenomenological psychology.,"Institution
University of Copenhagen",1953,Semper Ardens: Accelerate
1953,"År
2018",Kristina Winther-Jacobsen,"Beløb
DKK 59,375",The Greek Case in the Council of Europe: A Game Changer for International Law and Human Rights?,"Institution
The Danish Institute at Athens",1954,Conferences
1954,"År
2018",Rane Willerslev,"Beløb
DKK 644,525",Visions of Heaven and Earth: Romanesque Golden Altars from Southern Scandinavia,"Institution
Nationalmuseet",1955,Strategic Grants
1955,"År
2018",Lejf Moos,"Beløb
DKK 35,524",Fundamental and often forgotten perspectives on/in School and Leadership,"Institution
Aarhus University",1956,Conferences
1956,"År
2018",Christine Jeanneret,"Beløb
DKK 56,738","Music, Performing Arts and Artists in the North: The French and Italian Diasporas (1600-1900)","Institution
Det nationalhistoriske Museum, Frederiskborg Slot and Château de Versailles",1957,Conferences
1957,"År
2018",FLEMMING HØJLUND,"Beløb
DKK 259,990",Publikation af monografien Qala'at al-Bahrain vol. 3. The Western and Southern City Walls and other Excavations.,"Institution
Moesgaard Museum",1958,Publication
1958,"År
2018",Henrik Devitt Møller,"Beløb
DKK 295,000",Seeing is believing – Studying chromosomally-derived circular DNA in human stem cells: Are they transcribed?,Institution,1959,Internationalisation Fellowships
1959,"År
2018",Universita delgli Studio di Roma,"Beløb
DKK 1,202,938",The wealth and poverty of nations reconsidered,"Institution
University of Southern Denmark",1960,Monograph Fellowships
1960,"År
2018",Mahboobeh Amoushahi,"Beløb
DKK 1,170,342",The effect of reactive oxygen species production on regulation of ovarian follicular activation,"Institution
Aarhus University",1961,Reintegration Fellowships
1961,"År
2018",Anders Wivel,"Beløb
DKK 58,400","Past, Present, and Future of International Order","Institution
University of Copenhagen",1962,Conferences
1962,"År
2018",Thomas Just Sørensen,"Beløb
DKK 600,000",A state-of-the-art luminescent plate reader for development of diagnostic assays and molecular probes,"Institution
University of Copenhagen",1963,Research Infrastructure
1963,"År
2018",Lau Møller Andersen,"Beløb
DKK 589,000",The cerebellar clock: predicting the present,"Institution
Aarhus University",1964,Reintegration Fellowships
1964,"År
2018",Nika Akopian,"Beløb
DKK 30,000",1st international conference on Crystal-Phase Structures in Nanowires — CPSN 1,"Institution
Technical University of Denmark",1965,Conferences
1965,"År
2018",Jonathan Brewer,"Beløb
DKK 42,500",Coherent Raman Scattering microscopy for biology and medicine,"Institution
University of Southern Denmark",1966,Conferences
1966,"År
2018",Katherine Richardson Christensen,"Beløb
DKK 250,000",FFR Fluorometer and profiling fluorometer,"Institution
University of Copenhagen",1967,Research Infrastructure
1967,"År
2018",Kristian Hvidtfelt Nielsen,"Beløb
DKK 240,000",Camp Century: Cold War City Under Ice,"Institution
Aarhus University",1968,Publication
1968,"År
2018",Tine Nielsen,"Beløb
DKK 50,000",Unbiased measurement of psychological and emotional well-being in Australian Aboriginal and Torres Strait Islander populations – is it possible?,"Institution
University of Copenhagen",1969,"Field Trips / Research Stays < 100,000"
1969,"År
2018",Christoffer Basse Eriksen,"Beløb
DKK 425,000",Scaling the sub-visible world: The collective empiricism of early modern microscopy,Institution,1970,Internationalisation Fellowships
1970,"År
2018",Christian Adam Olsen,"Beløb
DKK 180,000",Selective Inhibition of Sirtuin 3 by Mitochondria Targeting Probes,"Institution
University of Copenhagen",1971,Research Infrastructure
1971,"År
2018",Kenneth Howard,"Beløb
DKK 60,000",Äkta start system for purification of advanced immunotherapy drugs,"Institution
Aarhus University",1972,Research Infrastructure
1972,"År
2018",Lars Hviid,"Beløb
DKK 400,000",Flow cytometer for malaria research at Centre for Medical Parasitology,"Institution
University of Copenhagen",1973,Research Infrastructure
1973,"År
2018",Aske Damtoft Poulsen,"Beløb
DKK 350,000",Peace and Power in the Roman Principate (PePo),Institution,1974,Internationalisation Fellowships
1974,"År
2018",Peter Bøggild,"Beløb
DKK 60,000",Carbonhagen 2018 - Grand Challenge Discussions,"Institution
Technical University of Denmark",1975,Conferences
1975,"År
2018",Jane Hjarl Petersen,"Beløb
DKK 75,310",Refelctions: Harbour City Deathscapes in Roman Italy and beyond,"Institution
University of Southern Denmark",1976,Publication
1976,"År
2018",Rie Thomsen,"Beløb
DKK 59,300",Critical perspectives on agency and social justice in transitions and career development,"Institution
Aarhus University",1977,Conferences
1977,"År
2018",Sune Vork Steffensen,"Beløb
DKK 57,315",4th International Conference on Ecolinguistics (ICE-4),"Institution
University of Southern Denmark",1978,Conferences
1978,"År
2018",Elena Papaleo,"Beløb
DKK 2,762,000",Unconventional phosphorylation-tuned motifs for protein function under the lens of structural biology,"Institution
Danish Cancer Society Research Center",1979,Semper Ardens: Accelerate
1979,"År
2018",Francesco Maria Valentino,"Beløb
DKK 1,223,100",Galaxies: Rise And Death (GRAD),"Institution
University of Copenhagen",1980,Reintegration Fellowships
1980,"År
2018",Kim Ryholt,"Beløb
DKK 110,000","The Carlsberg Papyri, volume 16","Institution
University of Copenhagen",1981,Publication
1981,"År
2018",Jacob Livingston Slosser,"Beløb
DKK 1,262,708","Code, Law, and Language [COLLAGE]","Institution
University of Copenhagen",1982,Reintegration Fellowships
1982,"År
2018",Hanne Mette Ochsner Ridder,"Beløb
DKK 59,000",European Music Therapy Conference,"Institution
Aalborg University",1983,Conferences
1983,"År
2018",Alexei Tsinovoi,"Beløb
DKK 1,124,314",New media technologies and the remediation of the Israeli-Palestinian conflict,"Institution
University of Copenhagen",1984,Reintegration Fellowships
1984,"År
2018",Kathrin Maurer,"Beløb
DKK 100,000",Aerial Surveillance: Hot Air Balloons in Nineteenth-Century European Literature and Culture,"Institution
University of Southern Denmark",1985,"Field Trips / Research Stays < 100,000"
1985,"År
2018",Ebbe Bødtkjer,"Beløb
DKK 1,200,000",2-photon microscope for intravital microscopy,"Institution
Aarhus University",1986,Research Infrastructure
1986,"År
2018",Sarah Castaldi,"Beløb
DKK 1,324,238",Clothing From Ethiopia: How Civil Society Initiatives Can Contribute To Sustainable Industry Development in Institutional Void Countries,"Institution
Copenhagen Business School",1987,Reintegration Fellowships
1987,"År
2018",Nina Søager,"Beløb
DKK 150,000","Volcanism in the Loicas Trough, southern Andes, the expression of unusual tectonic conditions","Institution
University of Copenhagen",1988,"Field Trips / Research Stays >100,000"
1988,"År
2018",Gloria Paola Mittica,"Beløb
DKK 808,333",The Sphere of the Divine - Religious Transformations of the Timpone della Motta in its Western Mediterranean Setting,"Institution
Danish Institute in Rome",1989,"Field Trips / Research Stays < 100,000"
1989,"År
2018",Stephan P. A. Sauer,"Beløb
DKK 60,000",Grand challenges for theoretical chemistry,"Institution
University of Copenhagen",1990,Conferences
1990,"År
2018",Mads Dengsø Jessen,"Beløb
DKK 497,748","Gudme, volume I: Buildings and Environment.","Institution
National Museum of Denmark",1991,Publication
1991,"År
2018",Preben Kaarsholm,"Beløb
DKK 45,000","Forskningsophold ved Centre for Research in Slavery and Indenture, University of Mauritius","Institution
Roskilde University",1992,"Field Trips / Research Stays < 100,000"
1992,"År
2018",Anja Simonsen,"Beløb
DKK 479,026",The Criminalisation of Humanitarianism: From Volunteers to Human Smugglers in Italy,Institution,1993,Internationalisation Fellowships
1993,"År
2018",Øjvind Moestrup,"Beløb
DKK 178,000","Vacuum evaporator, model Agar Scientific TEM Turbo Carbon Coater AGB7232","Institution
University of Copenhagen",1994,Research Infrastructure
1994,"År
2018",Nikolaj Thomas Zinner,"Beløb
DKK 450,000",CSQH - Classical simulation of quantum hardware,"Institution
Aarhus University",1995,Research Infrastructure
1995,"År
2018",Trine Edvardsen,"Beløb
DKK 350,000",Deep sea biotic responses during ocean anoxia in the Southern high latitudes,Institution,1996,Internationalisation Fellowships
1996,"År
2018",Mette Marie Rosenkilde,"Beløb
DKK 550,000",How zinc homeostasis regulates our immune system,"Institution
University of Copenhagen",1997,Research Infrastructure
1997,"År
2018",Jakob Christensen-Dalsgaard,"Beløb
DKK 32,125","Sound communication, behavior and physiology of barking geckos in Kuruman River Reserve, South Africa","Institution
University of Southern Denmark",1998,"Field Trips / Research Stays < 100,000"
1998,"År
2018",Peter Brodersen,"Beløb
DKK 1,000,000",How plants adapt to environmental change,"Institution
University of Copenhagen",1999,Research Infrastructure
1999,"År
2018",Lise Arleth,"Beløb
DKK 60,000",Recent progress in small-angle scattering from soft matter and biological systems,"Institution
University of Copenhagen",2000,Conferences
2000,"År
2018",Det Danske Sprog- og Litteraturselskab,"Beløb
DKK 1,964,790",Digital udgivelse og sprogteknologisk anvendelse af Den Danske Begrebsordbog,"Institution
Det Danske Sprog- og Litteraturselskab",2001,Research Infrastructure
2001,"År
2018",Esben Rahbek Gjerdrum Pedersen,"Beløb
DKK 53,940",The Sustainable Fashion Research Agenda (SFRA): What do we actually KNOW about Sustainable Fashion?,"Institution
Copenhagen Business School",2002,Conferences
2002,"År
2018",Louise Christiansen,"Beløb
DKK 425,000",The effect of post translational modifications on WRN function and pathway choice in double strand break repair,Institution,2003,Internationalisation Fellowships
2003,"År
2018",Jonas Andreas Sibbesen,"Beløb
DKK 450,685",Improving allele-specific transcript inference using genome graphs,Institution,2004,Internationalisation Fellowships
2004,"År
2018",Lasse Hyldgaard Klausen,"Beløb
DKK 350,000",Lipid rafts and membrane curvature: Hubs of intracellular signalling,Institution,2005,Internationalisation Fellowships
2005,"År
2018",Oskar Franch,"Beløb
DKK 350,000",Sensing Genomic Sequences using the Bacterial CRISPR Immune System: A Potential New Platform Technology,Institution,2006,Internationalisation Fellowships
2006,"År
2018",Gunner Lind,"Beløb
DKK 938,109","Disarming the Europeans. Regulating Private Arms, 1400-2000.","Institution
University of Copenhagen",2007,Monograph Fellowships
2007,"År
2018",Espen Drath Bøjesen,"Beløb
DKK 1,186,900",The Best of Both Worlds – Combining the Strengths of Electrons and X-rays,"Institution
""Monash University, 10 Innovation Walk, Clayton Campus, Monash University Victoria, 3800 Australia""",2008,Reintegration Fellowships
2008,"År
2018",Nina Lock,"Beløb
DKK 550,000",Structural studies of functional materials for catalysis,"Institution
Aarhus University",2009,Research Infrastructure
2009,"År
2018",Erik Jeppesen,"Beløb
DKK 160,000",Expeditions to Kazakhstan and Greenland to study saline lakes,"Institution
Aarhus University",2010,"Field Trips / Research Stays >100,000"
2010,"År
2018",Gregers Rom Andersen,"Beløb
DKK 450,000",Small scale chromatography for cryo-EM structural studies,"Institution
Aarhus University",2011,Research Infrastructure
2011,"År
2018",Mads Anders Baggesgaard,"Beløb
DKK 35,000",Research stay in St. Thomas,"Institution
Aarhus University",2012,"Field Trips / Research Stays < 100,000"
2012,"År
2018",Kristian Tylén,"Beløb
DKK 60,000","7th Conference of the Scandinavian Association for Language and Cognition, SALC VII","Institution
Aarhus University",2013,Conferences
2013,"År
2018",David Alejandro Duchene Garzon,"Beløb
DKK 1,224,983",The evolutionary history of birds lies in their genes: Extracting historical information from genome-scale data,"Institution
University of Copenhagen",2014,Reintegration Fellowships
2014,"År
2018",Bo Ærenlund Sørensen,"Beløb
DKK 1,337,821",Den kinesiske stats bestræbelser på at forme normer og forventninger (1949-2020),"Institution
University of Copenhagen",2015,Reintegration Fellowships
2015,"År
2018",Carsten Jahnke,"Beløb
DKK 36,000","The Loss of Jerusalem 1187: Reactions, Memory and Afterlife in the West","Institution
University of Copenhagen",2016,Conferences
2016,"År
2018",Anja Holm,"Beløb
DKK 175,000",Therapeutic targeting of RNA FIRRE as a new treatment paradigm for NASH,"Institution
Aalborg University",2017,"Field Trips / Research Stays < 100,000"
2017,"År
2018",Christian Aalkjær,"Beløb
DKK 230,000",Gel documentation of proteins,"Institution
Aarhus University",2018,Research Infrastructure
2018,"År
2018",Hans Basbøll,"Beløb
DKK 45,700","Videnskabshistorie, sprogtilegnelse og prosodi","Institution
University of Southern Denmark",2019,"Field Trips / Research Stays < 100,000"
2019,"År
2018",Jan Damsgaard,"Beløb
DKK 22,000",Organizing for Innovation in a Distributed Digital Economy,"Institution
Copenhagen Business School",2020,Conferences
2020,"År
2018",Stine Falsig Pedersen,"Beløb
DKK 1,400,000",Dynamic spatiotemporal signaling networks in mammalian cells,"Institution
University of Copenhagen",2021,Research Infrastructure
2021,"År
2018",Anja Cetti Andersen,"Beløb
DKK 288,000",Research stay at Princeton University,"Institution
University of Copenhagen",2022,"Field Trips / Research Stays >100,000"
2022,"År
2018",Tobias Weidner,"Beløb
DKK 599,000",Nanoparticle SFG spectroscopy for AU Chemistry,"Institution
Aarhus University",2023,Research Infrastructure
2023,"År
2018",Jørgen Kjems,"Beløb
DKK 750,000",Deciphering the role of circular RNA in mammalian brain development,"Institution
Aarhus University",2024,Research Infrastructure
2024,"År
2018",Lin Rosa Spaabæk,"Beløb
DKK 292,701","Identifikation og forskning i farvestoffer, bindemidler og metalsæber i græsk-romersk farvelag.","Institution
Ingen permanent tilknytning",2025,"Field Trips / Research Stays < 100,000"
2025,"År
2018",Olivier Rubin,"Beløb
DKK 51,000",Disaster Ethics Conference,"Institution
Roskilde University",2026,Conferences
2026,"År
2018",Line Dahl Næsborg,"Beløb
DKK 350,000",Application of Asymmetric [2+2] Photocycloadditions,Institution,2027,Internationalisation Fellowships
2027,"År
2018",Dorthe Kirkegaard Thomsen,"Beløb
DKK 840,925",Storying mental illness: In-depth analyses of life stories from 140 individuals with mental illness,"Institution
Aarhus University",2028,Monograph Fellowships
2028,"År
2018",Christian Damsgaard,"Beløb
DKK 1,179,000",A Bird's Eye Perspective on Eye Evolution,"Institution
Aarhus University",2029,Reintegration Fellowships
2029,"År
2018",Henrik Birkedal,"Beløb
DKK 500,000",3D element mapping in complex hierarchical materials by X-ray fluorescence tomography,"Institution
Aarhus University",2030,Research Infrastructure
2030,"År
2018",Johanne Schmith,"Beløb
DKK 425,000",Hazards and risks from volcanic ash,Institution,2031,Internationalisation Fellowships
2031,"År
2018",Jonas Maibom,"Beløb
DKK 400,000",Debt Relief in Denmark,"Institution
Aarhus University",2032,Research Infrastructure
2032,"År
2018",Ulla Kjær,"Beløb
DKK 84,250",Danske Magazin: Trykning af bind 53 (2019) og tilgængeliggørelse af bind 1-53 (1745-2019),"Institution
Nationalmuseet",2033,Publication
2033,"År
2018",Mark Skarsfeldt,"Beløb
DKK 350,000",Anti-arrhythmic potential of novel polyunsaturated fatty acid analogues,Institution,2034,Internationalisation Fellowships
2034,"År
2018",Per Svenningsen,"Beløb
DKK 217,000",Direct Measurement of Endogenous Vira-like Exosomes by Tunable Resistive Pulse Sensing,"Institution
University of Southern Denmark",2035,Research Infrastructure
2035,"År
2018",Uffe Gråe Jørgensen,"Beløb
DKK 290,000",Ground based wide field technology with space based resolution - Opening new science opportunities,"Institution
University of Copenhagen",2036,Research Infrastructure
2036,"År
2018",Peter Thisted Dinesen,"Beløb
DKK 849,958",Diverse and Disunited? The Consequences of Immigration for Social Trust in Western Societies,"Institution
University of Copenhagen",2037,Monograph Fellowships
2037,"År
2018",Andrew McLeod,"Beløb
DKK 1,156,600",Novel Structures in Scattering Amplitudes,"Institution
University of Copenhagen",2038,Reintegration Fellowships
2038,"År
2018",Kasper Kristensen,"Beløb
DKK 1,172,500",Living in a chemical reactor: A study on the chemistry of the indoor environment and its impact on air quality,"Institution
University of California, Berkeley",2039,Reintegration Fellowships
2039,"År
2018",Bjørn Lovén,"Beløb
DKK 1,534,487","The Ancient Harbours of the Piraeus, Volume III","Institution
The Danish Institute at Athens",2040,Publication
2040,"År
2018",Niels Daugbjerg,"Beløb
DKK 260,000",Quantifying stress physiology in phytoplankton cultures and natural communities exposed to different abiotic factors.,"Institution
University of Copenhagen",2041,Research Infrastructure
2041,"År
2018",Anne Sofie Beck Knudsen,"Beløb
DKK 485,000",Cultural Determinants and Consequences of the Industrial Revolution,Institution,2042,Internationalisation Fellowships
2042,"År
2018",Michael Rosholm Mortensen,"Beløb
DKK 350,000",Drug Activation on Demand for Reducing Side Effects in Cancer Treatment,Institution,2043,Internationalisation Fellowships
2043,"År
2018",Marcel Mudrich,"Beløb
DKK 4,412,000",Unraveling radiation damage of microsolvated biomolecules,"Institution
Aarhus University",2044,Semper Ardens: Accelerate
2044,"År
2018",Mads Heilskov,"Beløb
DKK 350,000",Animated materiality in the medieval Catholic West,Institution,2045,Internationalisation Fellowships
2045,"År
2018",Christoffer Bugge Harder,"Beløb
DKK 425,000",Comparative transcriptomics of the widespread Mycena mushrooms: What genomic features makes saprotrophs turn into opportunistic biotrophs and symbionts?,Institution,2046,Internationalisation Fellowships
2046,"År
2018",Troels Haugbølle,"Beløb
DKK 700,000",The Virtual Observatory: Computational and Big data Astrophysics,"Institution
University of Copenhagen",2047,Research Infrastructure
2047,"År
2018",Poul Norby,"Beløb
DKK 50,000","Nordisk Batterikonference, Nordbatt 2019","Institution
Technical University of Denmark",2048,Conferences
2048,"År
2018",Theis Brock-Nannestad,"Beløb
DKK 300,000",Pyrolysis GC-MS for biomass and (bio)polymer analysis,"Institution
University of Copenhagen",2049,Research Infrastructure
2049,"År
2018",Christian Kroun Damgaard,"Beløb
DKK 240,000",Analyses of circular RNA body homeostasis and function,"Institution
Aarhus University",2050,Research Infrastructure
2050,"År
2018",Jesper Bruun Mosbacher,"Beløb
DKK 350,000",Hair as a non-invasive tool to monitor wildlife populations,Institution,2051,Internationalisation Fellowships
2051,"År
2018",Societe De Linguistque Romane,"Beløb
DKK 60,000",Den internationale romanistkongres 2019,"Institution
University of Copenhagen",2052,Conferences
2052,"År
2018",Iben Lyskjær,"Beløb
DKK 425,000",CAESAR: Comprehensive Analysis of Epigenetic Heterogeneity in SARcoma,Institution,2053,Internationalisation Fellowships
2053,"År
2018",Rune Berg,"Beløb
DKK 2,000,000",Neuronal network activity behind generation of movements,"Institution
University of Copenhagen",2054,Research Infrastructure
2054,"År
2018",Jesper Andreasen,"Beløb
DKK 250,000",Strengthening a rodent translational touchscreen platform to study cognitive function,"Institution
University of Copenhagen",2055,Research Infrastructure
2055,"År
2018",Seyed Mojtaba Ghiasi,"Beløb
DKK 583,000",Consequences of inflammatory activation of RNA decay pathways for cell-fate in vitro and in vivo,"Institution
University of Copenhagen",2056,Reintegration Fellowships
2056,"År
2018",Kerstin Fischer,"Beløb
DKK 50,000",Understanding the Dynamics of Anthropomorphism,"Institution
University of Southern Denmark",2057,"Field Trips / Research Stays < 100,000"
2057,"År
2018",Troels Myrup Kristensen,"Beløb
DKK 172,000",The Pilgrim's Gaze: Visuality and Presence in Ancient Mediterranean Pilgrimage,"Institution
Aarhus University",2058,"Field Trips / Research Stays < 100,000"
2058,"År
2018",Ian David Hickson,"Beløb
DKK 1,000,000",Reconstitution of chromosome segregation using optical tweezers,"Institution
University of Copenhagen",2059,Research Infrastructure
2059,"År
2018",Mia Münster-Swendsen,"Beløb
DKK 880,031",A Historical Biography of Archbishop Eskil of Lund (c. 1100-1182),"Institution
Roskilde University",2060,Monograph Fellowships
2060,"År
2018",Jane Lund Andersen,"Beløb
DKK 350,000","Reconstructing ice dynamics in Dronning Maud Land, East Antarctica (RIDDLE)",Institution,2061,Internationalisation Fellowships
2061,"År
2018",Rasmus Sinding Søndergaard,"Beløb
DKK 1,250,000","Welfare State Internationalism? Economic and Social Rights in Scandinavian UN Diplomacy, 1970-2000","Institution
University of Copenhagen",2062,Reintegration Fellowships
2062,"År
2018",Morten Søndergaard,"Beløb
DKK 50,000","RE:SOUND - The 8th International Conference in the Histories of Media Art, Science and Technology","Institution
Aalborg University",2063,Conferences
2063,"År
2018",Søren Fournais,"Beløb
DKK 60,000",QMath14,"Institution
Aarhus University",2064,Conferences
2064,"År
2018",Maria Falk Mikkelsen,"Beløb
DKK 1,105,583",How Does Public Performance Matter for Political Trust?,"Institution
VIVE - The Danish Center for Social Science Research",2065,Reintegration Fellowships
2065,"År
2018",IT-Universitetet i København,"Beløb
DKK 1,128,356",Controversial Healing: Making sense of medicinal cannabis debates,"Institution
Aarhus University",2066,Reintegration Fellowships
2066,"År
2018",Steen Harle Hansen,"Beløb
DKK 90,000",The expansion rate of the Universe,"Institution
University of Copenhagen",2067,"Field Trips / Research Stays < 100,000"
2067,"År
2018",IT-Universitetet i København,"Beløb
DKK 800,000",Danish Language Inclusion: High-speed high-quality bootstrapping of large-scale research resources,Institution,2068,Research Infrastructure
2068,"År
2018",Adam Moe Fejerskov,"Beløb
DKK 100,000","The Global Laboratory: Bodies, Technologies, Experiments","Institution
Danish Institute for International Studies",2069,"Field Trips / Research Stays >100,000"
2069,"År
2018",Jeppe Lauritsen,"Beløb
DKK 1,600,000",Instrument for surface characterization of electrified nanomaterials,"Institution
Aarhus University",2070,Research Infrastructure
2070,"År
2018",Matthias Herth,"Beløb
DKK 90,000",Upgrade of a COMBIFLASH NEXTGEN 300+ with an Evaporative light-scattering detector (ELSD),"Institution
University of Copenhagen",2071,Research Infrastructure
2071,"År
2018",Mads Peter Heide-Jørgensen,"Beløb
DKK 200,000",Heart rate and physiology in bowhead whales,"Institution
University of Copenhagen",2072,"Field Trips / Research Stays >100,000"
2072,"År
2018",Lotte Pedersen,"Beløb
DKK 550,000",Regulation of ciliary length and function by centrosomal protein CEP78,"Institution
University of Copenhagen",2073,Research Infrastructure
2073,"År
2018",Det Danske Sprog- og Litteraturselskab,"Beløb
DKK 1,153,861",Tycho Brahes forfatterskab digitalt formidlet,"Institution
Det Danske Sprog- og Litteraturselskab",2074,Research Infrastructure
2074,"År
2018",John Fleng Steffensen,"Beløb
DKK 250,000",Biology and migration of Greenland sharks (Somniosus microcephalus).,"Institution
University of Copenhagen",2075,"Field Trips / Research Stays < 100,000"
2075,"År
2018",Jens Bukh,"Beløb
DKK 250,000",Basic virology laboratory to study virus-host interactions,"Institution
University of Copenhagen",2076,Research Infrastructure
