Year,Reciever,Grant size (DKK),Description,Translated Description,Country
2020,PowerMyLearning,163459,"Playful learning lab has developed the PlayGround, an online platform with curated learning through play activities for children . The grant is to help expand activities .","Playful learning lab has developed the PlayGround, an online platform with curated learning through play activities for children . The grant is to help expand activities .",UNITED STATES
2021,Play Included C.I.C.,17244000,Developing technical students’ management skills through playful learning,Developing technical students’ management skills through playful learning,UNITED KINGDOM
2021,PlanBørnefonden,24210000,Playful Futures,Playful Futures,DENMARK
2021,PlanBørnefonden,29782000,Let’s keep playing,Let’s keep playing,DENMARK
2020,Plan Børnefonden,1004145,To empower parents and Early Childhood Education/Early Childhood Development caregivers to build a strong foundation to ensure that development and learning for children aged 3 - 6 continues during the school and ECD centres closure and after reopening in East African countries.,To empower parents and Early Childhood Education/Early Childhood Development caregivers to build a strong foundation to ensure that development and learning for children aged 3 - 6 continues during the school and ECD centres closure and after reopening in East African countries.,DENMARK
2021,Organisation for Economic Cooperation and Development,14874000,OECD Global Schools - Network of Networks,OECD Global Schools - Network of Networks,FRANCE
2021,Organisation for Economic Cooperation and Development,5352000,PISA Creative Thinking Project,PISA Creative Thinking Project,FRANCE
2022,onebillion learners ,3903000,onecourse,onecourse,UNITED KINGDOM
2020,Ole Kirk’s Fond ,21900000,"Support to the Ole Kirk Foundation (OKF) with financing of the new Children’s Hospital in Copenhagen, also known as the “BørneRiget” project. The project aims to create a world class hospital that sets new standards for the treatment and patient experiences of children, adolescents and pregnant women – as well as for their families. (Hospital for children)","Support to the Ole Kirk Foundation (OKF) with financing of the new Children’s Hospital in Copenhagen, also known as the “BørneRiget” project. The project aims to create a world class hospital that sets new standards for the treatment and patient experiences of children, adolescents and pregnant women – as well as for their families. (Hospital for children)",DENMARK
2022,Ole Kirk’s Fond,100000000,Mary Elizabeth’s Hospital,Mary Elizabeth’s Hospital,DENMARK
2022,Ole Kirk’s Fond,220000000,Ole Kirk’s Fond 2023 ,Ole Kirk's Fund 2023,DENMARK
2020,Ole Kirk’s Fond,150000000,"Support to Ole Kirk´s Fond (OKF) 2020 portfolio of ongoing and upcoming projects in the social, humanitarian and cultural areas. In 2020 OKF, prioritized focus on socially vulnerable families and children and thereby contributing to solving some of the problems that children in Denmark are facing today.","Support to Ole Kirk´s Fond (OKF) 2020 portfolio of ongoing and upcoming projects in the social, humanitarian and cultural areas. In 2020 OKF, prioritized focus on socially vulnerable families and children and thereby contributing to solving some of the problems that children in Denmark are facing today.",DENMARK
2020,Ole Kirk’s Fond,25000000,For extra help to v ulnerable children and families in the social field in Denmark .,For extra help to v ulnerable children and families in the social field in Denmark .,DENMARK
2021,Ole Kirk’s Fond,200000000,Grant Activities 2022,Grant Activities 2022,DENMARK
2020,Norwegian Refugee Council,6214200,To strengthen existing efforts with parents and caregivers of the most vulnerable families in the northern area of Colombia.,To strengthen existing efforts with parents and caregivers of the most vulnerable families in the northern area of Colombia.,NORWAY
2020,New York University,332840,Play interaction investigations among young children and their mothers – due to Covid19 coding work will be completed with extra staff costs .,Play interaction investigations among young children and their mothers – due to Covid19 coding work will be completed with extra staff costs .,UNITED STATES
2020,New Profit,10474730,"The ultimate outcome of the project is to drive a new definition of quality education in the U.S. - one that is reflected in federal policy and creates the conditions for all children to develop a breadth of skills and experience learning through play , leading to better schooling for millions of children in the U.S.","The ultimate outcome of the project is to drive a new definition of quality education in the U.S. - one that is reflected in federal policy and creates the conditions for all children to develop a breadth of skills and experience learning through play , leading to better schooling for millions of children in the U.S.",UNITED STATES
2022,"Neighborhood Villages, Inc.",4090000,Neighborhood Villages,Neighborhood Villages,UNITED STATES
2022,Motion Light Lab at Gallaudet University,7400000,Capacity & Planning: Play and Language Access for Your Family through Visual Learning,Capacity & Planning: Play and Language Access for Your Family through Visual Learning,UNITED STATES
2021,Montessori Stiftung Berlin,8288000,We learn when we play and play when we learn!,We learn when we play and play when we learn!,GERMANY
2021,Mitchel Resnick,626000,LEGO Prize 2021,LEGO Prize 2021,UNITED STATES
2021,MIT Media Lab,21672000,Expanding the global impact of Learning through Play with digital technologies,Expanding the global impact of Learning through Play with digital technologies,UNITED STATES
2021,MIT Media Lab,13699000,Learning Through Play with PicoPlay,Learning Through Play with PicoPlay,UNITED STATES
2022,"Ministry of Industry, Business and Financial Affairs",5000000,Humanitarian aid to Ukraine: re-establishing normal everyday life and children’s access to schooling,Humanitarian aid to Ukraine: re-establishing normal everyday life and children’s access to schooling,DENMARK
2020,Massachusetts Institute of Technology,6800100,"The MIT lab focuses on re -defining play and re -imagining learning to ensure children develop the skills needed to navigate an uncertain and complex world, through creative coding and making.","The MIT lab focuses on re -defining play and re -imagining learning to ensure children develop the skills needed to navigate an uncertain and complex world, through creative coding and making.",UNITED STATES
2020,Massachusetts Institute of Technology,333800,The engagement of the fellow seeks to extend current understanding of Learning through Digital Play.,The engagement of the fellow seeks to extend current understanding of Learning through Digital Play.,UNITED STATES
2021,Luminos Fund,3093000,Second Chance,Second Chance,UNITED STATES
2022,Livox International LLC ,4855000,Play for All,Play for All,UNITED STATES
2022,Lively Minds,7400000,Capacity & Planning - Lively Minds: Empowering rural communities to help their children thrive,Capacity & Planning - Lively Minds: Empowering rural communities to help their children thrive,UNITED KINGDOM
2022,Little Journey Ltd,4483000,Supporting ALL children to better health through play ,Supporting ALL children to better health through play,UNITED KINGDOM
2022,Lernin Games S.L ,4531000,Kokoro Kids,Kokoro Kids,SPAIN
2020,Lemann Foundation Brazil Dufourstrasse 29,6743178,"The grant intends to create a country wide movement to engage parents, students, teachers and decision makers to make Brazilian education more playful, creative, and relevant for all.","The grant intends to create a country wide movement to engage parents, students, teachers and decision makers to make Brazilian education more playful, creative, and relevant for all.",SWITZERLAND
2022,LEGO Systems A/S,-7730000,Build the Change 2020-21 ,Build the Change 2020-21,DENMARK
2022,LEGO Systems A/S,-10772000,Build the Change 2021-22 ,Build the Change 2021-22,DENMARK
2022,LEGO Systems A/S,199000000,Build the Change 2022-2025 ,Build the Change 2022-2025,DENMARK
2022,LEGO Systems A/S,100000,Design Awards,Design Awards,DENMARK
2022,LEGO Systems A/S,435000,LEGO Audio Instructions,LEGO Audio Instructions,DENMARK
2022,LEGO Systems A/S,8000000,LEGO Charity 2023 ,LEGO Charity 2023,DENMARK
2022,LEGO Systems A/S,11500000,LEGO Idea House 2023 ,LEGO Idea House 2023,DENMARK
2022,LEGO Systems A/S,-15656000,LEGO Products 2022 ,LEGO Products 2022,DENMARK
2022,LEGO Systems A/S,-14715000,Local Community Engagement 2022,Local Community Engagement 2022,DENMARK
2022,LEGO Systems A/S,-6614000,Prescriptions for Play 2020-21,Prescriptions for Play 2020-21,DENMARK
2022,LEGO Systems A/S,-12057000,Prescriptions for Play 2021-22,Prescriptions for Play 2021-22,DENMARK
2022,LEGO Systems A/S,42665000,Prescriptions for Play 2022-23 ,Prescriptions for Play 2022-23,DENMARK
2022,LEGO Systems A/S,9557000,Responsible Innovation in Technology for Children (RITEC) ,Responsible Innovation in Technology for Children (RITEC),DENMARK
2020,LEGO System A/S (Unicef China),6296339,"A grant given to UNICEF China via the LEGO System A/S Social Impact & Partnership team to provide community -based support for early learning and responsive care (ELRC) for children aged 0 -6 in China. The grant aims to generate positive behaviour change among caregivers to better support child development with a learning through (LtP) play approach. Together with the Save the Children China (StC) partnership, the intention is to build strong local knowledge base on LtP as well as build great exa mples to showcase LtP at both school level (StC) and at community level (UNICEF). The aim is to build a strong advocacy base for promoting LtP towards different stakeholders including parents, schools, local communities and government.","A grant given to UNICEF China via the LEGO System A/S Social Impact & Partnership team to provide community -based support for early learning and responsive care (ELRC) for children aged 0 -6 in China. The grant aims to generate positive behaviour change among caregivers to better support child development with a learning through (LtP) play approach. Together with the Save the Children China (StC) partnership, the intention is to build strong local knowledge base on LtP as well as build great exa mples to showcase LtP at both school level (StC) and at community level (UNICEF). The aim is to build a strong advocacy base for promoting LtP towards different stakeholders including parents, schools, local communities and government.",DENMARK
2020,LEGO System A/S (LEGO Charity),25500823,"LEGO Charity is a packing and warehousing facility which supports the work of the LEGO Foundation through the delivery of Play Boxes, Six Bricks and products to children worldwide .","LEGO Charity is a packing and warehousing facility which supports the work of the LEGO Foundation through the delivery of Play Boxes, Six Bricks and products to children worldwide .",DENMARK
2020,LEGO System A/S (Emergency Assistance),6558082,"The grant provides a flexible grant fund that can be used by organisations operating in LEGO EcoSystem countries and allow them to respond to acute emergency (including natural disasters, conflict and refugee/migration or a combination of all three) where the wellbeing and lives of children have been put at risk.","The grant provides a flexible grant fund that can be used by organisations operating in LEGO EcoSystem countries and allow them to respond to acute emergency (including natural disasters, conflict and refugee/migration or a combination of all three) where the wellbeing and lives of children have been put at risk.",DENMARK
2020,LEGO System A/S,15204188,To support the LEGO Group in inspiring and developing children with LtP in local LEGO communities. LCE is also a unique opportunity where all employees in TLG can connect with the values of the company outside the commercial context and support their local communities and children with LtP.,To support the LEGO Group in inspiring and developing children with LtP in local LEGO communities. LCE is also a unique opportunity where all employees in TLG can connect with the values of the company outside the commercial context and support their local communities and children with LtP.,DENMARK
2020,LEGO System A/S,10841520,"PlayDay is to lay the foundation for mobilizing all 20.000 employees across the LEGO brand to embrace LtP. The long-term ambition is to ensure that all employees in the LEGO entities must understand both ‘WHAT ’ LtP means and ‘HOW to’ put LtP into action at work, at home and in their local communities.","PlayDay is to lay the foundation for mobilizing all 20.000 employees across the LEGO brand to embrace LtP. The long-term ambition is to ensure that all employees in the LEGO entities must understand both ‘WHAT ’ LtP means and ‘HOW to’ put LtP into action at work, at home and in their local communities.",DENMARK
2020,LEGO System A/S,9131212,To support the LEGO Idea House in documenting and communicating the LEGO Group heritage and thereby showcasing ‘learning through play’ which are the fundamental LEGO Foundation values.,To support the LEGO Idea House in documenting and communicating the LEGO Group heritage and thereby showcasing ‘learning through play’ which are the fundamental LEGO Foundation values.,DENMARK
2020,LEGO System A/S,43585953,To enable the LEGO Group Social Responsibility team to pivot and extend the existing Local Community Engagement program to respond to the most urgent crisis at hand globally .,To enable the LEGO Group Social Responsibility team to pivot and extend the existing Local Community Engagement program to respond to the most urgent crisis at hand globally .,DENMARK
2021,LEGO System A/S,3369000,LEGO Braille Bricks China,LEGO Braille Bricks China,DENMARK
2021,LEGO System A/S,11000000,LEGO Idea House 2022,LEGO Idea House 2022,DENMARK
2021,LEGO System A/S,28507000,Prescriptions for Play 2021-22,Prescriptions for Play 2021-22,DENMARK
2021,LEGO System A/S,37682000,Build the Change 2021/22,Build the Change 2021/22,DENMARK
2021,LEGO System A/S,99600000,Local Community Engagement 2022,Local Community Engagement 2022,DENMARK
2021,LEGO System A/S,15699000,Responsible Innovation in Technology for Children,Responsible Innovation in Technology for Children,DENMARK
2021,LEGO System A/S,23656000,LEGO Charity 2022,LEGO Charity 2022,DENMARK
2021,LEGO System A/S,2219000,Employee Play Engagement 2021,Employee Play Engagement 2021,DENMARK
2021,LEGO System A/S,26326000,LEGO Charity 2021,LEGO Charity 2021,DENMARK
2021,LEGO System A/S,20000000,Emergency Relief Fund,Emergency Relief Fund,DENMARK
2021,LEGO System A/S,30790000,Employee Play Engagement 2022,Employee Play Engagement 2022,DENMARK
2021,LEGO System A/S,7988000,Local Community Engagement 2021,Local Community Engagement 2021,DENMARK
2021,LEGO System A/S,148000,LEGO Idea House 2021,LEGO Idea House 2021,DENMARK
2022,LEGO House ,32000000,LEGO House 2023,LEGO House 2023,DENMARK
2020,LEGO House,22464925,"The grant supports LEGO House in becoming a global show case for the transformative power of creativity, play and learning and creates community engagement in Billund and throughout Denmark.","The grant supports LEGO House in becoming a global show case for the transformative power of creativity, play and learning and creates community engagement in Billund and throughout Denmark.",DENMARK
2021,LEGO House,79000,LEGO House 2021,LEGO House 2021,DENMARK
2021,LEGO House,22000000,LEGO House 2022,LEGO House 2022,DENMARK
2022,LEGO Foundation Partners ,10000000,LEGO Products 2023,LEGO Products 2023,DENMARK
2020,LEGO Education,432698,"To provide FIRST LEGO League experiences to 40 classes in rural area of Guangxi province, in China.","To provide FIRST LEGO League experiences to 40 classes in rural area of Guangxi province, in China.",DENMARK
2020,Kommunernes Landsforening,3620105,"6 Danish municipalities will become test beds for this project, which seeks to ease the transition of Danish children from kindergarten to school through a continuous learning through play experience supported by parents , pedagogues, teachers and municipalities.","6 Danish municipalities will become test beds for this project, which seeks to ease the transition of Danish children from kindergarten to school through a continuous learning through play experience supported by parents , pedagogues, teachers and municipalities.",DENMARK
2021,Kommunernes Landsforening,900000,Collaborate for Continuity,Collaborate for Continuity,DENMARK
2020,Kolding Designskole,5613000,Design for Play is the establishment of a “Master in Design for Play” as part of a Scandinavian hub for play and design that demonstrates how research about play can be translated into impact in practice. The initiative will produce specific solutions and encourage general dialo gue about exploiting and recognising the potential of play for the benefit of design for and with children.,Design for Play is the establishment of a “Master in Design for Play” as part of a Scandinavian hub for play and design that demonstrates how research about play can be translated into impact in practice. The initiative will produce specific solutions and encourage general dialo gue about exploiting and recognising the potential of play for the benefit of design for and with children.,DENMARK
2022,Kidogo Early Years Inc ,7167000,Kidogo Scale Up & Strategy Development ,Kidogo Scale Up & Strategy Development,UNITED STATES
2020,Kidogo,67645,"The grant improved the quality of an existing early childhood development (ECD) model by infusing more learning through play in the Kidogo’s approach, as well as helped formalize ECD professional development opportunities offered by Kidogo to practitioners, policy makers and other stakeholders in Kenya.","The grant improved the quality of an existing early childhood development (ECD) model by infusing more learning through play in the Kidogo’s approach, as well as helped formalize ECD professional development opportunities offered by Kidogo to practitioners, policy makers and other stakeholders in Kenya.",UNITED STATES
2020,Kidogo,1003181,Help Kidogo to support vulnerable children & their families in two key ways : Providing access to LtP resources for families to use at home; and providing financial support to Mamapreneurs to help them through the crisis as their operations and income are affected.,Help Kidogo to support vulnerable children & their families in two key ways : Providing access to LtP resources for families to use at home; and providing financial support to Mamapreneurs to help them through the crisis as their operations and income are affected.,UNITED STATES
2022,Kahoot!,3574000,Kahoot! For All,Kahoot! For All,NORWAY
2022,Johns Hopkins Center for Indigenous Health,7400000,Capacity & Planning: Reclaiming Indigenous Children’s Futures through Home-Visiting and Intergenerational Playspaces,Capacity & Planning: Reclaiming Indigenous Children’s Futures through Home-Visiting and Intergenerational Playspaces,UNITED STATES
2022,Johns Hopkins Center for Indigenous Health,200000000,Reclaiming Indigenous Children’s Futures through Home-Visitingand Intergenerational Playspaces,Reclaiming Indigenous Children’s Futures through Home-Visitingand Intergenerational Playspaces,UNITED STATES
2022,JET Education Services NPO,5554000,"Quality tool testing, learning and pathways to programme improvement by JET Education Services and The Unlimited Child","Quality tool testing, learning and pathways to programme improvement by JET Education Services and The Unlimited Child",SOUTH AFRICA
2020,IREX Kenya,4631569,The grant aims to support the education system at a national and county level to embed learning through play with technology in the system through a robust school community engagement project.,The grant aims to support the education system at a national and county level to embed learning through play with technology in the system through a robust school community engagement project.,UNITED STATES
2022,IRD Global Limited,7400000,Capacity & Planning: GogoPlay: Ecosystems of Play for Children in rural South Africa,Capacity & Planning: GogoPlay: Ecosystems of Play for Children in rural South Africa,SINGAPORE
2022,IRD Global Limited,200000000,GogoPlay: Ecosystems of Play for Children in rural South Africa,GogoPlay: Ecosystems of Play for Children in rural South Africa,SINGAPORE
2020,IRC,13388600,"International Rescue Committee will adapt and create play-based social-emotional learning content for children to be delivered via radio and other audio-supported devices in at least 4 contexts and languages in Tanzania, Uganda, Colombia and Lebanon.","International Rescue Committee will adapt and create play-based social-emotional learning content for children to be delivered via radio and other audio-supported devices in at least 4 contexts and languages in Tanzania, Uganda, Colombia and Lebanon.",UNITED STATES
2022,International School of Billund,136389000,International School of Billund,International School of Billund,DENMARK
2022,International Rescue Committee,14324000,Moving Minds Alliance,Moving Minds Alliance,UNITED STATES
2022,International Rescue Committee,35367000,Playful Beginnings (2.0),Playful Beginnings (2.0),UNITED STATES
2020,international Rescue Committee,108838080,"In partnership with IRC, Plan International, WarChild Holland, Behavioral Insights Team, and Innovations for Poverty Action the PlayMatters grant aims to strengthen children’s holistic learning outcomes by changing adults’ behavior to incorporate playful learning into regular interactions. It will use an evidence-based approach to strengthen the skills, resources and motivation of teachers, parents, caregivers, service providers and system actors in Ethiopia, Tanzania, and Uganda.","In partnership with IRC, Plan International, WarChild Holland, Behavioral Insights Team, and Innovations for Poverty Action the PlayMatters grant aims to strengthen children’s holistic learning outcomes by changing adults’ behavior to incorporate playful learning into regular interactions. It will use an evidence-based approach to strengthen the skills, resources and motivation of teachers, parents, caregivers, service providers and system actors in Ethiopia, Tanzania, and Uganda.",UNITED STATES
2021,international Rescue Committee,16623000,Play Well 2022,Play Well 2022,UNITED STATES
2021,International Rescue Committee,31273000,East and Central Africa COVID response,East and Central Africa COVID response,UNITED STATES
2022,Instituto Mexicano de Investigación de Familia y Población AC ,-1512000,PlayPrescriptions RollOut,PlayPrescriptions RollOut,MEXICO
2020,Instituto Mexicano de Investigacion de Familia y Poblacion,1648134,"I want to, I can…promote play for health project provides learning through play capability building for personnel in health centres (e.g. doctors, nurses, psychologists ), pediatric hospital staff and social and community workers across 9 states in Mexico.","I want to, I can… promote play for health project provides learning through play capability building for personnel in health centres (e.g. doctors, nurses, psychologists ), pediatric hospital staff and social and community workers across 9 states in Mexico.",MEXICO
2022,Innovations for Poverty Action,34891000,Catalyzing Embedded Evidence Labs in Education: Strengthening Evidence Capacity Across Contexts,Catalyzing Embedded Evidence Labs in Education: Strengthening Evidence Capacity Across Contexts,UNITED STATES
2020,INEE,3244150,"INEE is an open, global network of members working together to ensure the right to a quality, safe, and relevant education for all who live in emergency and crisis contexts. With support from partners like USAID, INEE is leading in response to this crisis, rolling out a robust advocacy, capacity building, and knowledge management program.","INEE is an open, global network of members working together to ensure the right to a quality, safe, and relevant education for all who live in emergency and crisis contexts. With support from partners like USAID, INEE is leading in response to this crisis, rolling out a robust advocacy, capacity building, and knowledge management program.",UNITED STATES
2022,Indus Action Initiatives,7400000,Capacity & Planning: Care to Play,Capacity & Planning: Care to Play,INDIA
2022,Impact and Innovations Development Centre,7400000,Capacity & Planning: Catalyzing REAL Fathers across Uganda for Early Learning and Play,Capacity & Planning: Catalyzing REAL Fathers across Uganda for Early Learning and Play,UGANDA
2022,Impact and Innovations Development Centre,100000000,Catalyzing REAL Fathers across Uganda for Early Learning and Play,Catalyzing REAL Fathers across Uganda for Early Learning and Play,UGANDA
2022,Høje Taastrup Municipality,4419000,Creative Learning in Schools,Creative Learning in Schools,DENMARK
2021,Hope Worldwide South Africa,35914000,Learning through Play with Caregivers in the Home,Learning through Play with Caregivers in the Home,SOUTH AFRICA
2020,Harvard Graduate School of Education,5069414,Project Zero’s Pedagogy of Play. This final phase of the partnership will continue the collaborative research on play and expand the research to Colombia.,Project Zero’s Pedagogy of Play. This final phase of the partnership will continue the collaborative research on play and expand the research to Colombia.,UNITED STATES
2020,Harvard CDC,2055014,The project aims to increase the presence of play in the ECD sector; and to improve ECD outcomes by linking practice and science.,The project aims to increase the presence of play in the ECD sector; and to improve ECD outcomes by linking practice and science.,UNITED STATES
2020,Harvard ,1661703,"During this unfolding public health crisis, the Harvard staff is moving swiftly to deploy resources to support children and families, especially those disproportionately affected by this pandemic globally through HCDC website .","During this unfolding public health crisis, the Harvard staff is moving swiftly to deploy resources to support children and families, especially those disproportionately affected by this pandemic globally through HCDC website .",UNITED STATES
2022,GW Foundation NPC,643000,GROW Education Centres ,GROW Education Centres,SOUTH AFRICA
2022,George Lucas Educational Foundation,1994000,Edutopia Amplifying Playful Schools,Edutopia Amplifying Playful Schools,UNITED STATES
2020,Fundacion Televisia,343125,"The Ministry of Education has reached out to Televisa Foundation, asking for support in developing hand -on and engaging content for children to develop holistic skills, with a particular focus on coding and socio -emotional learning.","The Ministry of Education has reached out to Televisa Foundation, asking for support in developing hand -on and engaging content for children to develop holistic skills, with a particular focus on coding and socio -emotional learning.",MEXICO
2022,Fundación Televisa A.C. ,12147000,Play This Summer,Play This Summer,MEXICO
2020,Fundacion Politecnico,5252286,"To support the Learn at Home program which consists of educational content transmitted via public TV channels and produced by Channel 11 in Mexico. Fundacion Televisa Av. Vasco de Quiroga 2000 Santa Fe, Del. Alvaro Obregon CP 01210. Mexico City MEXICO 343,125 The Ministry of Education has reached out to Televisa Foundation, asking for support in developing hands-on and engaging content for children to develop holistic skills, with a particular focus on coding and socio-emotional learning.","To support the Learn at Home program which consists of educational content transmitted via public TV channels and produced by Channel 11 in Mexico. Fundacion Televisa Av. Vasco de Quiroga 2000 Santa Fe, Del. Alvaro Obregon CP 01210. Mexico City MEXICO 343,125 The Ministry of Education has reached out to Televisa Foundation, asking for support in developing hands-on and engaging content for children to develop holistic skills, with a particular focus on coding and socio-emotional learning.",MEXICO
2022,Fundacion Carulla - AeioTU/María Adelaida López ,732000,2022 LEGO Prize Award,2022 LEGO Prize Award,COLOMBIA
2022,Fundación Carulla - aeioTU ,5083000,Environments that enable Learning through Play in Mexican schools Accreditation,Environments that enable Learning through Play in Mexican schools Accreditation,COLOMBIA
2022,Fundación Carulla - aeioTU,9885000,Embedding PLAY 2.0 in the system change approach in Colombia,Embedding PLAY 2.0 in the system change approach in Colombia,COLOMBIA
2021,Fundación Carulla - aeioTU,105000,Sharing the aeioTU educational model at scale in Colombia and Mexico,Sharing the aeioTU educational model at scale in Colombia and Mexico,COLOMBIA
2021,Foundation for Learning Equality,3106000,Flying Colors,Flying Colors,UNITED STATES
2022,For Inspiration and Recognition of Science and Technology,39853000,FIRST LEGO League Cross-Division,FIRST LEGO League Cross-Division,UNITED KINGDOM
2020,Fondazione Reggio Children-Centro,1606210,The partnership established what is called a DigiAtelier – to showcase LtP activities combined and integrated with the Reggio Emilia materials and digital technologies at the Loris Malaguzzi Centre in Italy. The centre shares role modelling of LtP Activiti es (Experiences) and documentation of the what and the how children experience learning through play.,The partnership established what is called a DigiAtelier – to showcase LtP activities combined and integrated with the Reggio Emilia materials and digital technologies at the Loris Malaguzzi Centre in Italy. The centre shares role modelling of LtP Activiti es (Experiences) and documentation of the what and the how children experience learning through play.,ITALY
2020,Fondation CERN & Societe,2558168,"Science Gateway, the new scientific education and outreach centre from Fondation CERN & Société will target the general public of all ages and backgrounds. The goal of this project is to engage the public in science through a wide offering of activities for different target groups: from young children and teenagers to families and adults. Science Gateway will engage visitors with no or little prior knowledge about science & technology and CERN’s activities. The exhibitions will be hosted in 3 of the 5 planned buildings.","Science Gateway, the new scientific education and outreach centre from Fondation CERN & Société will target the general public of all ages and backgrounds. The goal of this project is to engage the public in science through a wide offering of activities for different target groups: from young children and teenagers to families and adults. Science Gateway will engage visitors with no or little prior knowledge about science & technology and CERN’s activities. The exhibitions will be hosted in 3 of the 5 planned buildings.",SWITZERLAND
2021,FIRST – For Inspiration and Recognition of Science and Technology,30687000,FIRST Digital Engagement Strategy Project,FIRST Digital Engagement Strategy Project,UNITED STATES
2021,FIRST – For Inspiration and Recognition of Science and Technology,3754000,FIRST LEGO League Discover Bridging Grant,FIRST LEGO League Discover Bridging Grant,UNITED STATES
2020,FIRST,15976929,"To allow FIRST to maintain its operations and support ongoing growth of the FIRST LEGO League, FIRST Tech Challenge, and FIRST Robotics Competition programs globally .","To allow FIRST to maintain its operations and support ongoing growth of the FIRST LEGO League, FIRST Tech Challenge, and FIRST Robotics Competition programs globally .",UNITED STATES
2021,Finn Church Aid,3142000,Play to Learn - rethinking learning in crisis settings,Play to Learn - rethinking learning in crisis settings,FINLAND
2020,FHI Partners,6079062,"This grant is a playful parenting implementation research grant. The intention of the grant is to address implementation questions within our five playful parenting interventions that will be integrated into existing health, education and social protection systems in partnership with those partners. the focus of this grant is on how we implement grants at scale and with quality.","This grant is a playful parenting implementation research grant. The intention of the grant is to address implementation questions within our five playful parenting interventions that will be integrated into existing health, education and social protection systems in partnership with those partners. the focus of this grant is on how we implement grants at scale and with quality.",UNITED STATES
2022,Federation of American Scientists ,34431000,Education R&D Impact Fellows ,Education R&D Impact Fellows,UNITED STATES
2022,EIR ORG ,1147000,Empowering Change Through Playful Sports Programs,Empowering Change Through Playful Sports Programs,DENMARK
2022,Efterskolen,6602000,Efterskolen PLAY ,Efterskolen PLAY,DENMARK
2021,Education Outcomes Fund,100790000,Development of an Outcomes Fund for Early Childhood Education,Development of an Outcomes Fund for Early Childhood Education,UNITED STATES
2020,Education for Sharing,1398743,"To keep Education for Sharing operational through support for staff costs, utilities, and materials to compensate for the deficit caused by the COVID -19 crisis and develop activities through social media .","To keep Education for Sharing operational through support for staff costs, utilities, and materials to compensate for the deficit caused by the COVID -19 crisis and develop activities through social media .",MEXICO
2022,Education Development Center,29636000,"Learning Partner and Quality Tool Testing in Bangladesh, Sierra Leone, and Uganda","Learning Partner and Quality Tool Testing in Bangladesh, Sierra Leone, and Uganda",UNITED STATES
2020,Education Development Center,4137782,The grant intends to broaden the understanding of what LtP with Technology is and deepen understanding of how to incorporate LtP with Technology into formal learning environments.,The grant intends to broaden the understanding of what LtP with Technology is and deepen understanding of how to incorporate LtP with Technology into formal learning environments.,UNITED STATES
2021,"Education Cannot Wait, a UNICEF Hosted Pooled Fund",35000000,"Children and Adolescents continue learning in times of crisis in Haiti, Afghanistan and beyond","Children and Adolescents continue learning in times of crisis in Haiti, Afghanistan and beyond",UNITED STATES
2022,Education Cannot Wait,192778000,Contribution to #222MillionDreams,Contribution to #222MillionDreams,UNITED STATES
2020,Education Cannot Wait,102937500,"ECW is a pooled fund for education in emergencies for first and second waves of COVID -19 First Emergency Response funding windows. There is a priority to ensure Ethiopia, Uganda, and Bangladesh are fully funded first, and a second priority to fund protracted crisis in East Africa.","ECW is a pooled fund for education in emergencies for first and second waves of COVID -19 First Emergency Response funding windows. There is a priority to ensure Ethiopia, Uganda, and Bangladesh are fully funded first, and a second priority to fund protracted crisis in East Africa.",UNITED STATES
2021,Ecole polytechnique fédérale (EPFL),9932000,Playful Learning of Management,Playful Learning of Management,SWITZERLAND
2021,Design School Kolding,36571000,Designing for Learning through Play,Designing for Learning through Play,DENMARK
2021,Dansk Center For Undervisningsmiljø,4813000,Co-creating learning through play environments with children,Co-creating learning through play environments with children,DENMARK
2022,Danmarks Radio,625000,DR & Folkemødet 2022,DR & Folkemødet 2022,DENMARK
2022,"Danish Society for Education and Business, Tænketanken DEA",9400000,Joint Action in Early Childhood,Joint Action in Early Childhood,DENMARK
2022,Cohere Charity ,7400000,Capacity & Planning: Scalable Community-Led Learning through Play for Refugee Children,Capacity & Planning: Scalable Community-Led Learning through Play for Refugee Children,KENYA
2022,Coding Pirates Denmark,4939000,Exploring Formal and Informal Waters,Exploring Formal and Informal Waters,DENMARK
2020,Code to Learn Foundation (Scratch),10183680,"The grant intends to develop and disseminate free digital tools, activities, and educational materials, based on the Scratch programming platform and online community, to support learning through play.","The grant intends to develop and disseminate free digital tools, activities, and educational materials, based on the Scratch programming platform and online community, to support learning through play.",UNITED STATES
2022,CoC office A/S (CoC Playful Minds A/S) ,2000000,Children’s General Assembly 2022 ,Children’s General Assembly 2022,DENMARK
2022,"Clinton Health Access Initiative, Inc ",7400000,Capacity & Planning: Empowering disabled children to play via early assistive technology access,Capacity & Planning: Empowering disabled children to play via early assistive technology access,UNITED STATES
2022,"Clinton Health Access Initiative, Inc",100000000,Empowering disabled children to play via early assistive technology access,Empowering disabled children to play via early assistive technology access,UNITED STATES
2021,City Year Inc,11597000,Accelerating Holistic Supports for the Most Vulnerable US Students,Accelerating Holistic Supports for the Most Vulnerable US Students,UNITED STATES
2021,CIDE,28871000,Building Playful learning environments and systems in South Africa,Building Playful learning environments and systems in South Africa,SOUTH AFRICA
2022,ChildFund International ,3584000,Juega Conmigo Mexico phase 2,Play With Me Mexico phase 2,UNITED STATES
