Year,Reciever,Grant size (DKK),Description,Translated Description,Project Category
2022, Bornholms Regionskommune,435.000 kr.,Etablering af Klatretårn og adventure-miljø på Midtfyns Efterskole og Sdr. Nærå Friskole,Establishment of a climbing tower and adventure environment at Midtfyns Efterskole and Sdr. Nærå Friskole, Kultur og samfund Dagslys og frisk luft
2022, KFUM-spejderne,260.000 kr.,Uderum til rehabilitering og træning i Aakirkeby,Outdoor spaces for rehabilitation and training in Aakirkeby, Kultur og samfund Dagslys og frisk luft
2022, Stensagerskolen,"1,3 mio. kr.",Sløjdlokale i Skoven - Egtved Spejderne og Egtved Skole et fælles projekt,Woodwork room in the forest - Egtved Scouts and Egtved School a joint project, Kultur og samfund Dagslys og frisk luft
2022, Københavns Universitet,4 mio. kr.,Specialindrettede udendørs landskabs- og læringsrum til børn med vidtgående udviklingshandicap,Specially designed outdoor landscape and learning spaces for children with extensive developmental disabilities, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Tønder Kommune,"6,7 mio. kr.",YIP+: Hvorfor medførte jordens første ultra-højtryks subduktion global tektonisk stagnation og perioden ”den kedelige milliard”?,"YIP+: Why did the Earth's first ultra-high-pressure subduction cause global tectonic stagnation and the ""boring billion"" period?"," Børn, unge og science Teknologi og praktisk faglighed"
2022, Allerød Kommune,"5,7 mio. kr.",Makerspaces for alle i Tønder Kommune,Makerspaces for everyone in Tønder Municipality," Børn, unge og science Teknologi og praktisk faglighed"
2022, Thisted Kommune,7 mio. kr.,"Læringsmiljøer til fremtiden i nutidens skoler - legende, innovativ og motiverende læreprocesser med teknologiforståelse","Learning environments for the future in today's schools - playful, innovative and motivating learning processes with an understanding of technology"," Børn, unge og science Teknologi og praktisk faglighed"
2022, Aarhus Universitet,6 mio. kr.,Thy til teknologi og makerspace,Thy for technology and makerspace, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Københavns Universitet,"7,9 mio. kr.",Grænser af geometrier over de p-adiske tal,Limits of geometries over the p-adic numbers, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Danmarks Tekniske Universitet,3 mio. kr.,Udenjordiske kendetegn på is-meteoritters rolle i at gøre Jorden beboelig,Extraterrestrial Characteristics of Ice Meteorites' Role in Making Earth Habitable, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Danmarks Tekniske Universitet,6 mio. kr.,Revolutionizing spatial multi-omics through advanced sample preparation strategies,Revolutionizing spatial multi-omics through advanced sample preparation strategies, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Syddansk Universitet,6 mio. kr.,QUID-PRO: Kvantesikker distribution af information til brug for krypteringsprotokoller,QUID-PRO: Quantum-secure distribution of information for use in encryption protocols, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Danmarks Tekniske Universitet,3 mio. kr.,Observationelle effekter af små og store strukturer i Universet ,Observational effects of small and large structures in the Universe, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Lemvig Kommune,"5,8 mio. kr.",Effektiv udsendelse af enkelte fotoner fra nye on-chip enkeltfotonkilder,Efficient emission of single photons from new on-chip single photon sources," Børn, unge og science Teknologi og praktisk faglighed"
2022, Brønderslev Kommune,"4,4 mio. kr.",Makerspace - Lemvig,Makerspace - Lemvig," Børn, unge og science Teknologi og praktisk faglighed"
2022, Vordingborg Kommune,"5,9 mio. kr.",Makerspaces som læringslaboratorier,Makerspaces as learning labs," Børn, unge og science Teknologi og praktisk faglighed"
2022, Frederikshavn Kommune,"2,2 mio. kr.",Makerspace Vordingborg,Makerspace Vordingborg," Børn, unge og science Teknologi og praktisk faglighed"
2022, Københavns Universitet,8 mio. kr.,Makerspaces som drivkraft for læring,Makerspaces as a driver of learning, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Aarhus Universitet,"3,9 mio. kr.",Vekselvirkningen mellem planters temperatur og klimaforandringer i Arktis,The interaction between plant temperature and climate change in the Arctic, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Danmarks Tekniske Universitet,4 mio. kr.,YIP+: Geometri af kollaps,YIP+: Geometry of collapse, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Aarhus Universitet,6 mio. kr.,YIP+: Bifunktionel homogen katalytisk CO2 hydrogenering,YIP+: Bifunctional homogeneous catalytic CO2 hydrogenation, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Danmarks Tekniske Universitet,6 mio. kr.,Transport af varme og bobler over komplekse faste overflader,Transport of heat and bubbles over complex solid surfaces, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Danmarks Tekniske Universitet,8 mio. kr.,Digital Optisk Neural Netværksprocessor (DONN),Digital Optical Neural Network Processor (DONN), Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Københavns Universitet,8 mio. kr.,Effektiv energikonvertering i centersymmetriske oxider med defektinduceret symmetri-brud,Efficient energy conversion in center-symmetric oxides with defect-induced symmetry rupture, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Aarhus Universitet,6 mio. kr.,Afkodning af mørkt stof - med stjernestrømme fra andre galakser end Mælkevejen,Decoding dark matter - with stellar streams from galaxies other than the Milky Way, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Københavns Universitet,3 mio. kr.,Some-like-it-low: Mikrobiel H2 optag ved lave koncentrationer som forklaring på elektrotrofi,Some-like-it-low: Microbial H2 uptake at low concentrations as an explanation for electrotrophy, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Københavns Universitet,6 mio. kr.,DORA: Biodiversitetsdynamikker i Antropocæn via genbesøg af historiske data,DORA: Biodiversity dynamics in the Anthropocene via revisiting historical data, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, IT-Universitetet i København,3 mio. kr.,Elektrosyntese af Nano-katalysatorer til produktion af vedvarende kemikalier (EleNa),Electrosynthesis of Nano-catalysts for the production of renewable chemicals (EleNa), Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Syddansk Universitet,6 mio. kr.,Hinsides eksakt optælling: Approksimation og symmetri,Beyond Exact Count: Approximation and Symmetry, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Københavns Universitet,6 mio. kr.,Bioinspireret adfærdsmæssig additiv fremstilling: Hvordan man lærer robotter at bygge ligesom naturen,Bio-Inspired Behavioral Additive Manufacturing: How to Teach Robots to Build Like Nature, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Københavns Universitet,3 mio. kr.,Fremstilling og udforskning af ukonventionelle superledere,Manufacturing and Exploration of Unconventional Superconductors, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Københavns Universitet,8 mio. kr.,Rekonstruktion af den evolutionære udvikling af det humane mikrobioms taksonomiske og metaboliske profiler ved brug af DNA udvundet fra tygget plantemateriale,Reconstructing the evolutionary development of the taxonomic and metabolic profiles of the human microbiome using DNA extracted from chewed plant material, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Danmarks Tekniske Universitet,"5,5 mio. kr.",Udforskning af det ukendte Univers ved hjælp af gravitationsbølger,Exploring the Unknown Universe Using Gravitational Waves, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Københavns Universitet,6 mio. kr.,Udforskning af det lokale miljøs indflydelse på produktionen af stjerner i starburst-galakser (ELLIPSIS),Exploring the influence of the local environment on star formation in starburst galaxies (ELLIPSIS), Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Københavns Universitet,4 mio. kr.,Sprogmodellering med pixels,Language modeling with pixels, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2022, Bornholms Museumsfond,300.000 kr.,YIP+: Protein faseadskillelse og overgang til fast form i syntetiske celler (ProSec),YIP+: Protein Phase Separation and Transition to Solid Form in Synthetic Cells (ProSec), Kultur og samfund Andre projekter
2022, Astra,"4,5 mio. kr.",Life-cycle assessment (LCA) af Bornholms Museumscenter,Life-cycle assessment (LCA) af Bornholms Museumscenter," Børn, unge og science Teknologi og praktisk faglighed"
2022, Danmarks Tekniske Universitet,19 mio. kr.,Big Bang Konference 2023-25,Big Bang Conference 2023-25, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2022, Danmarks Tekniske Universitet,20 mio. kr.,Særbevilling til videreførsel af V-Sustain aktiviteterne (eksperimenter),Special grant for continuation of the V-Sustain activities (experiments), Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2022, Mobilitetsfonden,1 mio. kr.,Særbevilling til videreførsel af V-Sustain aktiviteterne (teori),Special grant for continuation of the V-Sustain activities (theory), Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2022, Skolens Venner,"1,7 mio. kr.",Familiepakkebidrag,Family package contribution," Børn, unge og science Teknologi og praktisk faglighed"
2022, Designmuseum Danmark,20 mio. kr.,Skolevenner støtter ukrainske flygtninge i folkeskolen,School friends support Ukrainian refugees in primary school, Kultur og samfund Andre projekter
2022, KR Foundation,150 mio. kr.,Fra Kunstindustrimuseum til Designmuseum - Et transformeret hus,From Museum of Art and Design to Design Museum - A Transformed House, Miljø og klima Miljø og klima
2022, Willumsens Museum,300.000 kr.,KR Foundation 2023,KR Foundation 2023, Kultur og samfund Andre projekter
2022, Engineer the Future,"1,4 mio. kr.",Bæredygtigt byggeri – renovering af Willumsens Museum,Sustainable construction – renovation of Willumsens Museum," Børn, unge og science Teknologi og praktisk faglighed"
2022, Highwire,"4,2 mio. kr.",Engineering Day 2023 - Tillægsbevilling,Engineering Day 2023 - Tillægsbevilling," Børn, unge og science Science i Fritiden"
2022, Epinion,"1,7 mio. kr.",500 IQ: Naturvidenskab til Youtube-generationen!,500 IQ: Science for the Youtube generation!," Børn, unge og science Evaluering og analyse"
2022, ATV - Akademiet for de Tekniske Videnskaber,5 mio. kr.,Evaluering af klimaundervisning,Evaluation of climate education, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2022, Københavns Universitet,1 mio. kr.,"Etablering af 5 års drift for Young Academy of Technology, Science, and Innovation (YATSI)","Etablering af 5 års drift for Young Academy of Technology, Science, and Innovation (YATSI)", Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2022, Københavns Universitet,1 mio. kr.,Familiepakkebidrag,Family package contribution, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2022, Københavns Universitet,5 mio. kr.,Familiepakkebidrag,Family package contribution, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2022, Nordfyns Erhverv og Turisme,50.000 kr.,Forskning inden for kemi,Research in chemistry, Kultur og samfund Dagslys og frisk luft
2022, Danmarks Tekniske Universitet,1 mio. kr.,Tillægsbevilling - Læsning i den friske luft - Sprogense,Additional grant - Reading in the fresh air - Sprogense, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2022, Medarbejderfond for VKR Gruppen,10 mio. kr.,Familiepakkebidrag,Family package contribution, Villum Fonden Villum Fonden
2022, Frederikssund Kommune,172.242 kr.,Bevilling til Medarbejderfonden,Grant to the Employee Foundation," Børn, unge og science Teknologi og praktisk faglighed"
2022, Danmarks Tekniske Universitet,1 mio. kr.,MakerVærket i Frederikssund Kommune - Tillægsbevilling,MakerVærket in Frederikssund Municipality - Additional grant, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2022, Danmarks Tekniske Universitet,1 mio. kr.,Familiepakkebidrag,Family package contribution, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2022, Danmarks Tekniske Universitet,48 mio. kr.,Familiepakkebidrag,Family package contribution, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2022, Københavns Professionshøjskole,100 mio. kr.,Pioneer Center for Accelerating P2X Materials Discovery,Pioneer Center for Accelerating P2X Materials Discovery," Børn, unge og science Teknologi og praktisk faglighed"
2021, Nadání a dovednosti o.p.s.,"3,8 mio. kr.",Naturfagsakademi (NAFA) - Et nationalt program for kvalificering af naturfagsundervisningen i Danmark,Science Academy (NAFA) - A national programme for qualification of science education in Denmark, Unge og uddannelse i Europa Unge og uddannelse i Europa
2021, Manageria,12 mio. kr.,Career Boost,Career Boost, Unge og uddannelse i Europa Unge og uddannelse i Europa
2021, Mobilitetsfonden,1 mio. kr.,Teach for Slovakia,Teach for Slovakia, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2021, Medarbejderfond for VKR Gruppen,45 mio. kr.,Familiepakkebidrag,Family package contribution, Villum Fonden Villum Fonden
2021, IT-Universitetet i København Teknisk og naturvidenskabelig forskning Villum Kann Rasmussen Professorat,30 mio. kr.,Jubilæumsoverførsel til Medarbejderfond for VKR Gruppen (Medarbejderformål),Anniversary transfer to the Employee Foundation for the VKR Group (Employee Purpose), Villum Kann Rasmussen Professorat Teknisk og naturvidenskabelig forskning
2021, Københavns Universitet,47 mio. kr.,VKR Professorat til IT Universitetet,VKR Professorship at the IT University of Copenhagen, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2021, Infotech Spólka z Ograniczona Odpowiedzialnoscia,"3,8 mio. kr.",Pioneer Center for Artificial Intelligence,Pioneer Center for Artificial Intelligence, Unge og uddannelse i Europa Unge og uddannelse i Europa
2021, Pomeranian Special Economic Zone,11 mio. kr.,Vocational educational training - B2E (business to edu model),Vocational educational training - B2E (business to edu model), Unge og uddannelse i Europa Unge og uddannelse i Europa
2021, Civil Society Development Foundation,11 mio. kr.,Industrial Robots Programming Centre - education for Industry 4.0,Industrial Robots Programming Centre - education for Industry 4.0, Unge og uddannelse i Europa Unge og uddannelse i Europa
2021, Aarhus Universitet,39 mio. kr.,Improving quality of secondary technical education and strengthening students’ skills,Improving quality of secondary technical education and strengthening students’ skills, Teknisk og naturvidenskabelig forskning Villum Investigator
2021, Aalborg Universitet,28 mio. kr.,Enabling Technologies for A Sustainable Future: Ionic Liquids as Transformative Tools in Nanomaterials Synthesis,Enabling Technologies for A Sustainable Future: Ionic Liquids as Transformative Tools in Nanomaterials Synthesis, Teknisk og naturvidenskabelig forskning Villum Investigator
2021, Københavns Universitet,40 mio. kr.,Smart Battery,Smart Battery, Teknisk og naturvidenskabelig forskning Villum Investigator
2021, Aarhus Universitet,30 mio. kr.,Belysning af det mørke univers med tyngdebølger,Illumination of the dark universe with gravitational waves, Teknisk og naturvidenskabelig forskning Villum Investigator
2021, Københavns Universitet,30 mio. kr.,Fremtidssikring af bearbejdning af fødevarebiomolekyler,Future-proofing the processing of food biomolecules, Teknisk og naturvidenskabelig forskning Villum Investigator
2021, Aalborg Universitet,29 mio. kr.,Transportomics i planter,Transportomics in plants, Teknisk og naturvidenskabelig forskning Villum Investigator
2021, Danmarks Tekniske Universitet,30 mio. kr.,Wireless Architectures for intelligent and Trusted connectivity in the posT-5G ERa (WATER),Wireless Architectures for intelligent and Trusted connectivity in the posT-5G ERa (WATER), Teknisk og naturvidenskabelig forskning Villum Investigator
2021, Hungarian National Committee for UNICEF,"4,5 mio. kr.",Data-drevet opdagelse af funktionelle 2D-materialer,Data-driven discovery of functional 2D materials, Unge og uddannelse i Europa Unge og uddannelse i Europa
2021, Remisen Skjern,"1,2 mio. kr.",Youth Challenge Hungary for VET learners,Youth Challenge Hungary for VET learners, Kultur og samfund Andre projekter
2021, Betty Nansen Teatret,"3,7 mio. kr.",Nyt liv i gammel DSB-remise,New life in old DSB depot, Kultur og samfund Andre projekter
2021, Danmarks Naturfredningsforening,5 mio. kr.,Betty Nansen Teatret i 2020'erne,The Betty Nansen Theatre in the 2020s," Børn, unge og science Science i Fritiden"
2021, Den Erhvervsdrivende Fond Naturbornholm,680.000 kr.,Naturagenter,Nature agents," Børn, unge og science Science i Fritiden"
2021, Zoologisk Have København,634.000 kr.,NaturBornholms Science Klub,NaturBornholms Science Klub," Børn, unge og science Science i Fritiden"
2021, GAME Denmark,"1,6 mio. kr.",Gå til ZOO science i fritiden,Go to ZOO science in your spare time," Børn, unge og science Science i Fritiden"
2021, Danmarks Tekniske Universitet,29 mio. kr.,STREET MIX: STEM-gadeidræt aktiviteter for børn og unge,STREET MIX: STEM street sports activities for children and young people, Teknisk og naturvidenskabelig forskning Villum Investigator
2021, Aalborg Universitet,30 mio. kr.,Table-top synkrotroner,Table-top synkrotroner, Teknisk og naturvidenskabelig forskning Villum Investigator
2021, Syddansk Universitet,25 mio. kr.,"S40S: Skalérbar analyse og syntese af sikre, små og optimale strategier til cyber-fysiske systemer","S40S: Scalable analysis and synthesis of secure, small and optimal strategies for cyber-physical systems", Teknisk og naturvidenskabelig forskning Villum Investigator
2021, Experimentarium,"4,6 mio. kr.",Mathematics of the topological open string,Mathematics of the topological open string," Børn, unge og science Science i Fritiden"
2021, Syddansk Universitet,"3,4 mio. kr.",Experimentarium-familier,Experimentarium-familier," Børn, unge og science Science i Fritiden"
2021, Holbæk Kommune,"4,5 mio. kr.",Søer i fritiden - sø-økologi og Citizen Science,Lakes in Leisure - Lake-Ecology and Citizen Science," Børn, unge og science Science i Fritiden"
2021, Videnskabsklubben,"3,8 mio. kr.",Science i SFO'en,Science in the after-school program," Børn, unge og science Science i Fritiden"
2021, Mobilitetsfonden,1 mio. kr.,Videnskabsklub for familier,Science Club for Families, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2021, Medarbejderfond for VKR Gruppen,45 mio. kr.,Familiepakkebidrag,Family package contribution, Villum Fonden Villum Fonden
2021, V. Kann Rasmussen Foundation,35 mio. kr.,Jubilæumsoverførsel til Medarbejderfond for VKR Gruppen (Almennyttige formål),Anniversary transfer to the Employee Foundation for the VKR Group (Non-profit purposes), Miljø og klima Miljø og klima
2021, VELUX STIFTUNG,35 mio. kr.,Jubilæumsoverførsel til V. Kann Rasmussen Foundation,Anniversary transfer to the V. Kann Rasmussen Foundation, Miljø og klima Miljø og klima
2021, Aarhus Universitet,"8,2 mio. kr.",Jubilæumsoverførsel til VELUX STIFTUNG,Anniversary transfer to VELUX STIFTUNG, Unge og uddannelse i Europa Unge og uddannelse i Europa
2021, Aalborg Universitet,2 mio. kr.,"Developing a Sustainable Culture for Change, Second Phase","Developing a Sustainable Culture for Change, Second Phase", Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Københavns Universitet,2 mio. kr.,Using bugs living in insect pests to control the pests,Using bugs living in insect pests to control the pests, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, KR Foundation,100 mio. kr.,Learning without a conventional brain,Learning without a conventional brain, Miljø og klima Miljø og klima
2021, Københavns Universitet,3 mio. kr.,KR Foundation 2022,KR Foundation 2022, Teknisk og naturvidenskabelig forskning Villum Synergy
2021, Mobilitetsfonden,1 mio. kr.,Explainable Artificial Intelligence and Fairness in Asylum Law (XAIfair),Explainable Artificial Intelligence and Fairness in Asylum Law (XAIfair), Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2021, Københavns Universitet,"2,6 mio. kr.",Familiepakkebidrag,Family package contribution, Teknisk og naturvidenskabelig forskning Villum Synergy
2021, Aarhus Universitet,2 mio. kr.,The evolution and function of lysine desert proteins,The evolution and function of lysine desert proteins, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Danmarks Tekniske Universitet,2 mio. kr.,Do sponges sleep?,Do sponges sleep?, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Aarhus Universitet,2 mio. kr.,Light-driven green ammonia synthesis in soil using bio-inorganic hybrid electrode (SolN),Light-driven green ammonia synthesis in soil using bio-inorganic hybrid electrode (SolN), Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Danmarks Tekniske Universitet,20 mio. kr.,Phage therapy to boost bacterial oil spill clean-up in the Arctic,Phage therapy to boost bacterial oil spill clean-up in the Arctic, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2021, Landskabsværkstedet,525.000 kr.,DTU GreenLab Skive (Styrket Universitetssamarbejde på GreenLab Skives Forsknings-Opskalerings-Platform),DTU GreenLab Skive (Strengthened University Collaboration on GreenLab Skive's Research-Upscaling Platform), Kultur og samfund Andre projekter
2021, Danmarks Tekniske Universitet,31 mio. kr.,Nye skove - Håndbog i bæredygtig skovrejsning,New forests - Handbook on sustainable afforestation, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2021, Københavns Universitet,"1,9 mio. kr.",Danish Data Science Academy,Danish Data Science Academy, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Københavns Universitet,2 mio. kr.,Emergent Quantum Phases and Superconductivity in Flatband-land,Emergent Quantum Phases and Superconductivity in Flatband-land, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Danmarks Tekniske Universitet,"1,7 mio. kr.",Cosmogenic Nuclide Memory of Rocks (CoNMoR),Cosmogenic Nuclide Memory of Rocks (CoNMoR), Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Aarhus Universitet,2 mio. kr.,Enzymatic upcycling of polyethylene terephthalate (PET) into high performance polyamides,Enzymatic upcycling of polyethylene terephthalate (PET) into high performance polyamides, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Danmarks Tekniske Universitet,2 mio. kr.,"ElectroMicrobiological Oxygen Generation in Dark, Anoxic Sediments (OxyGen)","ElectroMicrobiological Oxygen Generation in Dark, Anoxic Sediments (OxyGen)", Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Københavns Universitet,2 mio. kr.,Reversing multicolor tomography for precise property control in ultrafast 3D printing (REMUTO),Reversing multicolor tomography for precise property control in ultrafast 3D printing (REMUTO), Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Aarhus Universitet,2 mio. kr.,Single molecule sequencing of oligosaccharides (SingleCarb),Single molecule sequencing of oligosaccharides (SingleCarb), Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Aarhus Universitet,"1,9 mio. kr.",Does organic matter released from the melting Greenland Ice Sheet influence cloud processes in the Arctic?,Does organic matter released from the melting Greenland Ice Sheet influence cloud processes in the Arctic?, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Danmarks Tekniske Universitet,2 mio. kr.,Spin-Grain: Spintronic nano-grains with local vortex oscillations for reservoir computing,Spin-Grain: Spintronic nano-grains with local vortex oscillations for reservoir computing, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Mobilitetsfonden,1 mio. kr.,The Renaissance of Microbial Cultivation in Support of Biodiscovery,The Renaissance of Microbial Cultivation in Support of Biodiscovery, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2021, Københavns Universitet,2 mio. kr.,Familiepakkebidrag,Family package contribution, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Hadsund Roklub,70.000 kr.,Snow Queen and Odin in the Pleistocene - did our relatives hibernate?,Snow Queen and Odin in the Pleistocene - did our relatives hibernate?, Kultur og samfund Dagslys og frisk luft
2021, Københavns Universitet,"1,7 mio. kr.",Anskaffelse af robåd,Acquisition of a rowing boat, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Danmarks Tekniske Universitet,2 mio. kr.,OsteoMorph: Understanding Bone Microphysics through Computational Morphology of SRuCT,OsteoMorph: Understanding Bone Microphysics through Computational Morphology of SRuCT, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Syddansk Universitet,2 mio. kr.,Seeking room-temperature superconductivity with exciton condensate in van der Waals heterostructures,Seeking room-temperature superconductivity with exciton condensate in van der Waals heterostructures, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Danmarks Tekniske Universitet,"1,6 mio. kr.",New dielectric materials for next generation high performance capacitors,New dielectric materials for next generation high performance capacitors, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Københavns Universitet,2 mio. kr.,Prediction of ice mass loss induced Earthquakes in Greenland,Prediction of ice mass loss induced Earthquakes in Greenland, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Danmarks Tekniske Universitet,"1,9 mio. kr.",Dynamically adjustable haptics for 3D-printed user interfaces via metamaterials augmented with force-transmission lines,Dynamically adjustable haptics for 3D-printed user interfaces via metamaterials augmented with force-transmission lines, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Aarhus Universitet,2 mio. kr.,RESULT - Rethinking Sulphur Lithium Battery Technology,RESULT - Rethinking Sulphur Lithium Battery Technology, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Danmarks Tekniske Universitet,2 mio. kr.,Novel Trivalent Cation Conductors for Future Batteries,Novel Trivalent Cation Conductors for Future Batteries, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Aarhus Universitet,2 mio. kr.,Why does metabolic rate scale with body size?,Why does metabolic rate scale with body size?, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Syddansk Universitet,2 mio. kr.,A new approach for monitoring methane emissions from space,A new approach for monitoring methane emissions from space, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Danmarks Tekniske Universitet,2 mio. kr.,Making a single photon capable of detecting a single molecule,Making a single photon capable of detecting a single molecule, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Danmarks Tekniske Universitet,2 mio. kr.,Recording microbial signals in soil microbiomes,Recording microbial signals in soil microbiomes, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Danmarks Tekniske Universitet,2 mio. kr.,Light Reconfigurable Nano-fluidics - LiRN-fluidics,Light Reconfigurable Nano-fluidics - LiRN-fluidics, Teknisk og naturvidenskabelig forskning Villum Experiment
2021, Aarhus Universitet,6 mio. kr.,EK-GPS: Driving bacteria in heterogeneous porous media,EK-GPS: Driving bacteria in heterogeneous porous media, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2021, Aarhus Universitet,6 mio. kr.,Chemical design of superconductors,Chemical design of superconductors, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2021, Aarhus Universitet,6 mio. kr.,Algorithmic Verification of Modern-Day Concurrency,Algorithmic Verification of Modern-Day Concurrency, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2021, Danmarks Tekniske Universitet,8 mio. kr.,Capture the Second Critical Point in the No-man’s Land of Semiconducting Materials,Capture the Second Critical Point in the No-man’s Land of Semiconducting Materials, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2021, Aarhus Universitet,6 mio. kr.,Symmetry-guided discovery of topological photonics (SYMTOP),Symmetry-guided discovery of topological photonics (SYMTOP), Teknisk og naturvidenskabelig forskning Villum Young Investigator
2021, Danmarks Tekniske Universitet,6 mio. kr.,Insights on the prevalence of Earth-like planets,Insights on the prevalence of Earth-like planets, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2021, Danmarks Tekniske Universitet,6 mio. kr.,From instability to order via dispersive light matter interaction,From instability to order via dispersive light matter interaction, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2021, Mobilitetsfonden,1 mio. kr.,Alive concrete,Alive concrete, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2021, Næstved Kommune,"6,2 mio. kr.",Familiepakkebidrag,Family package contribution," Børn, unge og science Teknologi og praktisk faglighed"
2021, Danmarks Tekniske Universitet,4 mio. kr.,Makerspace - Kreative design- og læringslaboratorier,Makerspace - Creative Design and Learning Labs, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2021, Danmarks Tekniske Universitet,4 mio. kr.,YIP+ Reticular Spin-Architectonics,YIP+ Reticular Spin-Architectonics, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2021, Københavns Universitet,8 mio. kr.,YIP+ Harnessing the power of supramolecular chemistry to control enzymatic systems,YIP+ Harnessing the power of supramolecular chemistry to control enzymatic systems, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2021, Københavns Universitet,4 mio. kr.,Complex dynamics of non-stationary quantum matter,Complex dynamics of non-stationary quantum matter, Teknisk og naturvidenskabelig forskning Villum Young Investigator
