,Year,Reciever,Grant size (DKK),Description,Location,Receiver Proffession
2194,2020,Filipe Pereira,DKK 500.000,Generating natural killer cells by direct cell reprogramming,Lund University,
2195,2020,Filipe Pereira,DKK 3.500.000,Dendritic cell therapy,Lund University,
2196,2020,Filipe Pereira,DKK 3.500.000,Dendritic cell therapy,Lund University,
2197,2020,Finn Gustafsson,DKK 9.690.000,"Advanced heart failure: Screening, evaluation and optimization of management",Rigshospitalet,Professor
2198,2020,Flemming Dela,DKK 889.676,The effect of training on insulin secretion capacity in patients with type 2 diabetes. Interaction with pharmacological treatment?,Københavns Universitet,Professor
2199,2020,Flemming Dela,DKK 75.000,Cellular adaptations to training in patients with type 2 diabetes,Københavns Universitet,
2200,2020,Folkekirkens Nødhjælp,DKK 1.000.000,"Response and Recovery to COVID-19 impact for Vulnerable Women & Families in Northern Shan State (RRVF-NSS), Myanmar",NA,
2201,2020,Fonden Den Nordatlantiske Brygge,DKK 14.729.975,Tranhuset,NA,
2202,2020,Foreningen Lex.dk,DKK 6.366.666,LEX-SUND – Formidling af sundhedsvidenskabelig viden på platformen lex.dk,NA,
2203,2020,Fødevarestyrelsen,DKK 465.000,Workshop til forebyggelsespakker i kommunerne til forebyggelse af overvægt blandt børn og unge,NA,
2204,2020,Frank Aarestrup,DKK 375.000,Transmission networks for infectious diseases and antimicrobial resistance,Technical University of Denmark,Professor
2205,2020,Frank Jensen,DKK 2.976.633,Systematic First-principle Force Fields (SF3),"Aarhus University, Department of Chemistry",Associate Professor
2206,2020,Frank Olesen,DKK 5.653.432,"Tidlig naturfaglig nysgerrighed - Indsats, der styrker børn i udsatte positioner","Københavns Kommune, Afdelingen for Bæredygtig Udvikling",
2207,2020,Frank Viborg Mortensen,DKK 2.982.674,ISCOLIM trial: Improving Survival of Colorectal Liver Metastases by RFA-mediated Immunostimulation,Aarhus Universitetshospital,Professor
2208,2020,"Frans Mulder, Slewert Marrink, Lene Niemann Nejsum",DKK 14.404.346,BOUNDLESS Signalling in membrane-less organelles: A new phase in cellular biology,Aarhus University,
2209,2020,Fredericia Kommune,DKK 3.000.000,Let's Go!,NA,
2210,2020,Fredericia Kommune,DKK 3.000.000,Let's Go!,NA,
2211,2020,Frelsens Hær,DKK 300.000,Julehælp til udsatte familier i Danmark 2020,NA,
2212,2020,Frelsens Hær,DKK 300.000,Julehælp til udsatte familier 2020,NA,
2213,2020,Gabriel Renaud,DKK 7.950.623,Ancient Genomes Reconstruction,"Technical University of Denmark, Department of Health Technology",
2214,2020,GAME,DKK 9.963.212,ASFALT 2. Implementering og evaluering af GAME Community: Indsats til fremme af fysisk aktivitet og positive idrætsfællesskaber i udsatte boligområder,NA,
2215,2020,Gentofte Hospital,DKK 3.335.000,The effect of angiotensin-converting enzyme inhibition and angiotensin II receptor blockade on the course of acute respiratory distress syndrome in COVID-19 patients,NA,
2216,2020,Gerit Tolborg,DKK 250.000,The sustainable color revolution for foods,Chromologics Aps,
2217,2020,Gerlev Idrætshøjskole og Center for Leg & Bevægelse,DKK 2.989.950,"Moving Youth - Movement Culture: Udvikling af ny bevægelseskultur i innovativ samskabelse mellem skole, idrætsforening, højskole samt børn og unge",NA,
2218,2020,Gitte Moos Knudsen,DKK 150.000,Neuroplasticity in the human brain following acute ischemic stroke,Rigshospitalet,
2219,2020,Gitte Moos Knudsen,DKK 150.000,The role of serotonin in compulsive behaviour in humans: Underlying brain mechanisms,Rigshospitalet,
2220,2020,Gitte Moos Knudsen,DKK 10.144.473,The OpenNeuroPET Archive - A Molecular Neuroimaging Archive,"Rigshospitalet, Neurobiology Research Unit",Professor
2221,2020,Giuseppe Filomeni,DKK 464.803,VIII International Workshop on Nitric Oxide in Cancer and Beyond,Kræftens Bekæmpelse,
2222,2020,Gregers Rom Andersen,DKK 2.678.219,Structural basis for a novel mechanism of protease inhibition,"Aarhus University, Department of Molecular Biology and Genetics",Professor
2223,2020,Gregers Wegener,DKK 150.000,Inhibition of the inflammasome in major depressive disorder: evidence from inflammatory models of depression,Aarhus Universitet,Professor
2224,2020,Grethe Andersen,DKK 9.999.928,Ultra-early Stroke diagnostics Implementing novel Multiparametric tests for Acute Treatment decision ? STIMULATE,Aarhus Universitet,Professor
2225,2020,Guang Chu,DKK 2.080.000,More than Paper: Cellulose Printing for Custom-tailored Photonics,Aalto University,
2226,2020,Gunnar Schulte,DKK 990.000,Molecular insights into WNT-Frizzled signaling allow drugging Frizzleds in a mechanism-based and structure-guided manner,Karolinska Institute,Professor
2227,2020,Hanne Konradsen,DKK 360.000,"Effect of family functioning, family health, and social support on readmission in patients with heart failure: an international cross-sectional study",Herlev and Gentofte Hospital - Copenhagen University Hospital,
2228,2020,Hanne Sindbæk,DKK 1.468.000,August og Marie Krogh - en biografi,NA,
2229,2020,Hans Bräuner-Osborne,DKK 999.239,The selective modulation of the calcium sensing receptor by nanobodies as improved treatment paradigm for chronic kidney disease,University of Copenhagen,
2230,2020,Hans Henrik Lohfert Jørgensen,DKK 999.995,"Billedteori, historiesyn og animationsforskning",Aarhus Universitet,
2231,2020,Harry Finch,DKK 3.500.000,A strategy for accelerating the discovery of novel protein degraders and offering an alternative approach for therapeutics with ‘protac-like’ actions,Kesmalea Therapeutics ApS,
2232,2020,Helena Safavi-Hemami,DKK 949.565,Specialized insulins from marine predators as new drug leads for diabetes,Københavns Universitet,Assistant Professor
2233,2020,Helga Ellingsgaard,DKK 991.200,Interleukin-6 dependent changes in substrate metabolism drive adiposity,Rigshospitalet,Senior Researcher
2234,2020,Helgi Schiöth,DKK 960.000,"Development of tools for screening substances, and understanding the specific roles and putative targets, endocrinologic and metabolic functions",Uppsala University,Professor
2235,2020,Heli Skottman,DKK 1.000.000,Long-term preclinical efficacy and safety for a novel off-the-shelf stem cell therapy for unmet clinical need of corneal blindness,Tampere University,
2236,2020,Helle Prætorius Øhrwald,DKK 2.944.744,P2Y2 receptor activation - the central hinge in platelet-dependent immune response during E. coli-induced sepsis,"Aarhus University, Department of Biomedicine",Professor
2237,2020,Helle Raun Andersen,DKK 2.201.500,Developmental exposure to pyrethroid insecticides; impact on pubertal and neurodevelopment at age 7-12 years of age,Syddansk Universitet Odense,Associate Professor
2238,2020,Hendrik Vilstrup,DKK 13.182.440,"Faecal microbiota transplantation to prevent complications, progression and mortality of cirrhosis",Aarhus Universitetshospital,Professor
2239,2020,Henning Bliddal,DKK 9.002.500,Diet vs. surgery in patients impacted by obesity and knee osteoarthritis scheduled for knee alloplasty: a randomized controlled trial,Københavns Universitet,Professor
2240,2020,Henning Bundgaard,DKK 90.000,Left ventricular non-compaction in childhood: echocardiographic follow-up and prevalence in first-degree relatives,Rigshospitalet,
2241,2020,Henriette Autzen,DKK 9.999.375,A spoon full of sugar makes the medicine go down: Decoding the molecular mechanisms of sweet and savory taste signaling,"Department of Biology, University of Copenhagen",Postdoc
2242,2020,Henriette Svarre Nielsen,DKK 80.000,Pregnancy Loss and Risk of Developing Type 2 Diabetes,Hvidovre Hospital,
2243,2020,Henrik Breilev,DKK 1.052.000,Udvikling af undervisningsforløb til folkeskolens naturfag rettet mod Åben Skole i Faxe kommune,Østskolen,
2244,2020,Henrik C. Wegener,DKK 8.400.000,Copenhagen Bioscience PhD programme 2020 - DanStem,Københavns Universitet,
2245,2020,Henrik Hersom,DKK 5.487.960,Helhedsorienteret STEM-undervisning i erhvervsuddannelserne,"Københavns Professionshøjskole, Institut for Didaktik og Digitalisering",
2246,2020,Henrik Jensen,DKK 2.988.890,Fueling the field of glycobiology through solution phase automation of oligosaccharide synthesis,"Aarhus University, Department of Chemistry",Associate Professor
2247,2020,Henrik Kjærulf Jensen,DKK 2.500.000,New perspectives in genetically reduced function of an anion exchanger as a novel mechanism of Short QT Syndrome,Aarhus Universitet,Professor
2248,2020,Henrik Sengeløv,DKK 7.875.000,Innate Donor Effector Allogeneic Lymphocyte infusion after Stem Cell Transplantation - The IDEAL Trial,Rigshospitalet,Professor
2249,2020,Henrik Thybo Christesen,DKK 150.000,Vitamin D Exposure in Relation to IQ in Childhood: An Odense Child Cohort Study,Odense Universitets-hospital,
2250,2020,Herlev & Gentofte Hospital,DKK 1.372.200,Biomarkører til risikovurdering af patienter med COVID-19,NA,
2251,2020,Herlev & Gentofte Hospital og Hvidovre Hospital,DKK 2.992.500,"GLYCOVID-19, Steno Diabetes Center Copenhagen",NA,
2252,2020,Himanshu Khandelia,DKK 2.253.300,"Novel Voltage-Sensing Mechanisms in Biology, derived from Principles of Soft Matter Physics","University of Southern Denmark, Department of Physics, Chemistry and Pharmacy",Associate Professor
2253,2020,Human Rights Watch,DKK 1.000.000,Ensuring Rights-Respecting Reconstruction and Humanitarian Aid Delivery in Syria,NA,
2254,2020,Human Rights Watch,DKK 1.000.000,Building Education Back Better in a Post-Pandemic World,NA,
2255,2020,Human Rights Watch,DKK 1.000.000,Ensuring Rights-Respecting Reconstruction and Humanitarian Aid Delivery in Syria,NA,
2256,2020,Impact Designs,DKK 972.501,Improving access to nutrition and income for refugees in Uganda through production of edible insects,NA,
2257,2020,Impact Designs,DKK 972.501,Improving access to nutrition and income for refugees in Uganda through production of edible insects,NA,
2258,2020,Ingeniører uden Grænser,DKK 999.445,"Masks for Africa : COVID-19 cloth masks for Africa: Protecting vulnerable communities and clinically assessing the impact by EWB - DK and SDU, Guinea-Bissau (GB) and Sierra Leone (SL)",NA,
2259,2020,Ingrid Dahlman,DKK 1.800.000,Decoding diabetogenic abdominal adipose morphology,Karolinska Institute,Professor
2260,2020,Ingrid Poulsen,DKK 429.828,Supporting patients with chronic obstructive pulmonary disease and their relatives in optimising nutritional status & physical function,Rigshospitalet,
2261,2020,International Aid Services Denmark,DKK 1.000.000,"Improved WASH situation for three villages in Madarounfa Department, Niger",NA,
2262,2020,International Aid Services Denmark,DKK 1.000.000,"Covid-19 intervention in 4 villages in Guéra Region, Chad",NA,
2263,2020,International Aid Services Denmark,DKK 1.000.000,"Improved WASH situation for three villages in Madarounfa Department, Niger",NA,
2264,2020,Irina Borodina,DKK 10.000.000,Engineering Small-molecule Transport in Cell Factories,The Novo Nordisk Foundation Center for Biosustainability,
2265,2020,Isabella Artner,DKK 1.000.000,NEURAL CONTROL OF ENDOCRINE CELL DEVELOPMENT IN THE HUMAN PANCREAS,Lund University,Associate Professor
2266,2020,IT University of Copenhagen,DKK 3.161.930,Start Package grant for Associate Professor Zsolt István,IT University of Copenhagen,
2267,2020,"IT University of Copenhagen, Department of Computer Science",DKK 3.161.930,Start Package grant for Associate Professor Zsolt István,"IT University of Copenhagen, Department of Computer Science",
2268,2020,"IT University of Copenhagen, Department of Digital Design",DKK 3.239.418,Start Package grant for Associate Professor Jichen Zhu,"IT University of Copenhagen, Department of Digital Design",
2269,2020,IT-Universitetet i København,DKK 999.596,Rohingya mHealth: Expanding Access to Healthcare for the Rohingya Community concerning Non-communicable Diseases in the Refugee Camps in Bangladesh,NA,
2270,2020,IT-Universitetet i København,DKK 999.596,Rohingya mHealth: Expanding Access to Healthcare for the Rohingya Community concerning Non-communicable Diseases in the Refugee Camps in Bangladesh,NA,
2271,2020,J. Michael Hasenkam,DKK 3.000.000,New surgical design of methods for mitral heart valve operation,Aarhus Universitetshospital,Professor
2272,2020,Jacob Kongsted,DKK 2.454.900,Understanding P-glycoprotein inhibition from a molecular basis – development of rational design strategies for P-glycoprotein inhibitors,"University of Southern Denmark, Department of Physics, Chemistry and Pharmacy",Professor
2273,2020,Jacob Lund,DKK 298.648,The Work of Art in the Age of a Globally Networked Image-Space,Aarhus Universitet,Lektor
2274,2020,Jacob Steinmetz,DKK 6.326.084,Comparing Restrictive versus Liberal Oxygen Strategies for Trauma Patients,Rigshospitalet,Chief Physician
2275,2020,Jacob Thorek Jensen,DKK 4.550.673,Naturvidenskab - der hvor du er. Udvikling af ny naturvidenskabelig formidlingsprofil på Danmarks Tekniske Museum,Danmarks Tekniske Museum,
2276,2020,Jakob Gottschau,DKK 1.351.400,Magisk mudder - kan grønlandsk gletsjermel få troperne til at blomstre,Express TV-production Aps,
2277,2020,Jakob Grauslund,DKK 499.117,"31st European Association for the Study of Diabetes eye complications study group (EASDec) Annual Meeting 2021 - Odense, Denmark",Odense Universitetshospital,Professor
2278,2020,Jakob Nilsson,DKK 2.503.649,Investigating the role of the PP2A-B56-BRCA2 complex in homologous recombination,"University of Copenhagen, Novo Nordisk Foundation Center for Protein Research",Professor
2279,2020,Jakob Stokholm,DKK 9.998.062,Early life virome - the hidden player in the development of chronic inflammatory diseases,Dansk BørneAstma Center,Senior Researcher
2280,2020,Jan Borén,DKK 2.000.000,Novel treatment strategies for NAFLD: a worldwide epidemic of lethal chronic liver disease,University of Gothenburg,Head of Department
2281,2020,Jan Eriksson,DKK 2.172.450,Does the brain raise the glycemic setpoint in type 2 diabetes?,Uppsala University,Professor
2282,2020,Jan Halborg Jensen,DKK 2.924.365,Searching Chemical Space for New Catalysts,"University of Copenhagen, Department of Chemistry",Professor
2283,2020,Janne Villadsen,DKK 1.526.160,Nationalmuseet x Heartland: NOW - noget om nutiden. Et formidlingskoncept på tværs af Danmark.,Heartland Festival,
2284,2020,Jay Keasling,DKK 18.000.000,Microbial production of therapeutic alkaloids,Novo Nordisk Foundation Center for Biosustainability,Professor
2285,2020,Jeanette Winther,DKK 2.522.500,Cancer risk and survival in patients with neurofibromatosis 1,Kræftens Bekæmpelse,Professor
2286,2020,"Jenny Sørensen, Rikke Markussen Jensen & Krista Markussen",DKK 150.000,Naturtematisk Pædagogpris 2020 - Vest,"Lærkereden, Skive",
2287,2020,Jens Dolin,DKK 4.817.832,Seminarrække i naturfagsdidaktisk forskning,"Københavns Universitet, Institut for Naturfagenes Didaktik",
2288,2020,Jens Emil Elg,DKK 2.000.000,Rose dækker bord – Repræsentationer af afrikanere og personer af afrikansk herkomst i dansk kunst fra 1650-1917,Københavns Universitet,
2289,2020,Jens Laurids Sørensen,DKK 2.903.470,Biosynthesis of electrolytes in oleaginous yeasts for sustainable energy storage,Aalborg Universitet,
2290,2020,Jens Mogensen,DKK 126.000,The frequency of teno-synovial and cardiac amyloidosis in patients receiving carpal tunnel release surgery,Odense Universitetshospital,Professor
2291,2020,Jens Olaf Pepke Pedersen,DKK 398.000,Naturens enhed som grafisk novelle,Center for Jordens Klima og Biogeokemiske Kredsløb,
2292,2020,Jens Otto Lunde Jørgensen,DKK 25.000.000,DOUBLE EDGE – Characterization and mitigation of adverse effects of glucocorticoid treatment,Aarhus Universitetshospital,Professor
2293,2020,Jens Seeberg,DKK 375.000,Antimicrobial Resistance and Labour Migration across Healthcare Borders in Northern South Asia,Aarhus Universitet,Professor
2294,2020,Jens-Ulrik Stæhr Jensen,DKK 9.943.600,"Understanding and managing chronic obstructive lung disease via time-updated biomarker-strategies, co-morbidity control via microbiome analysis",Gentofte Hospital,Associate Professor
2295,2020,Jeroen Melief,DKK 1.000.000,Epigenetic boosting of tumor immunogenicity: a new road to personalized cancer immunotherapy,Karolinska Institute,
2296,2020,Jes Frellsen,DKK 2.995.386,BayesFlow: Bayesian inference in normalising flows,"Technical University of Denmark, Department of Applied Mathematics and Computer Science",Associate Professor
2297,2020,"Jesper Olsen, Marco Donia",DKK 4.997.609,Functional proteomics approach to elucidate immune evasion mechanisms induced in tumors by T-cell recognition,University of Copenhagen,
2298,2020,Jesper Svenningsen,DKK 1.330.953,Tetzen-Lunds samling af moderne kunst,Statens Museum for Kunst,Forsker
2299,2020,Jichen Bao,DKK 1.523.560,Re-wiring the Central Metabolism of Methanogens for Direct Conversion of Glucose to Methane (GLU-ME),Aalto University,
2300,2020,Jiri Bartek,DKK 10.000.000,Replication stress: Mechanisms and roles in human health and disease,"Genome Integrity Unit, Danish Cancer Society",Professor
2301,2020,Jiri Lukas,DKK 8.400.000,Copenhagen Bioscience PhD programme 2020 - CPR,Københavns Universitet,
2302,2020,Jiwoong Lee,DKK 2.539.634,Organic Reactions Facilitated by Carbon Dioxide,"University of Copenhagen, Department of Chemistry",Assistant Professor
2303,2020,Joachim Hjerl,DKK 4.264.676,Haven i havet,Den selvejende institution Havhøst,CEO
2304,2020,Joachim Weischenfeldt,DKK 9.980.000,Spatiotemporal analysis of clonal origin and dynamics in cancer,"Biotech Research & Innovation Centre (BRIC), University of Copenhagen",Associate Professor
2305,2020,Johan Andersen-Ranberg,DKK 9.999.140,SunMade – Engineering the Eukaryotic Algae N. oceanica for Sustainable Bioproduction,University of Copenhagen,
2306,2020,Johan Burisch,DKK 9.778.800,"The influence of genetics, immunity and microbiome on the prognosis of inflammatory bowel disease – the IBD Prognosis study",Hvidovre Hospital,Physician
2307,2020,Johan Ericson,DKK 500.000,A novel and robust methodology for rapid high-yield derivation of transplantable dopamine neurons from human pluripotent stem cells,Karolinska Institute,
2308,2020,Johanna Björkroth,DKK 9.995.584,Longitudinal Gene Expression Markers Conceptualized to Innovate Artificial Intelligence Platforms for the Assessment of Microbial Food Spoilage,University of Helsinki,
2309,2020,John-Olov Jansson,DKK 1.000.000,The gravitostat - a novel system regulating body fat homeostasis,Sahlgrenska University Hospital,Professor
2310,2020,Jorgen Thorup,DKK 700.000,Optimizing the fertility potential of bilateral cryptorchidism by treatment with adjuvant kryptocur®.,Rigshospitalet,Professor
2311,2020,Jørgen Beck Hansen,DKK 165.000,Science Pavilion på Roskilde Festivalen 2021 - Extraordinary peculiarities and where to find them?,"Niels Bohr Instituttet, Københavns Universitet",
2312,2020,Jørgen Eivind Olesen,DKK 464.205,Zero Greenhouse Gas Emission in High Productive Agriculture (ZEA),Aarhus Universitet,Professor
2313,2020,Jørgen Hansen,DKK 10.000.000,Treating water-borne pests and diseases using biological approaches,Sundew ApS,
2314,2020,Jørgen Løye Christiansen,DKK 4.213.149,Evaluering af de naturfaglige kompetencer i folkeskolen (NATKOM-projektet),"Professionshøjskolen Absalon, Center for Skole og Læring",
2315,2020,Jørn Carlsen,DKK 2.985.000,REDEEM: ScREening anD impact of vascular endothEliopathy as assEssed by Metabolomics on disease progression and outcome in pulmonary hypertension,Rigshospitalet,Chief Physician/Consultant (UK)
2316,2020,Juleen Zierath,DKK 6.300.000,Copenhagen Bioscience PhD programme 2020 - CBMR,Københavns Universitet,
2317,2020,Julien Colombani,DKK 2.500.000,Identification of physiological functions of TNF in regulating metabolism and promoting gastrointestinal health,"University of Copenhagen, Department of Biology",Associate Professor
2318,2020,Julius Kirkegaard,DKK 7.202.086,Differentiable Physical Models for Data Analysis in Biology,"University of Copenhagen, Niels Bohr Institute",
2319,2020,Jussi Pihlajamäki,DKK 1.000.000,Critical steps to improve T2D digital prevention (StopDia project),University of Eastern Finland,Professor
2320,2020,"Karen Martinez, Christoffer Goth, Poul Martin Bendix, Mette Rosenkilde",DKK 4.994.455,Role of post translational modifications in GPCR mechanosensation,Universiy of Copenhagen,
2321,2020,Karin Stenkula,DKK 1.574.000,Lipid droplet formation and mechanosensing; key factors regulating adipocyte function and insulin action,Lund University,Researcher
2322,2020,Karina Dahl Steffensen,DKK 321.033,ISDM2021 - INTERNATIONAL CONFERENCE IN SHARED DECISION MAKING. Conference theme: SDM in real life - connecting the practical elements,Sygehus Lillebælt (Vejle),
2323,2020,Karina Dalsgaard Sørensen,DKK 9.970.000,Using liquid tumor biopsies & genetic testing to guide personalized treatment of advanced prostate cancer: From discovery to clinical care (UTILITY).,Aarhus Universitet,Professor
2324,2020,Karthika Rajeeve,DKK 2.600.000,Deciphering the novel role of immune cells in the spread and dissemination of Chlamydia trachomatis.,"Aarhus University, Department of Biomedicine",Assistant Professor
2325,2020,Katja S. Johansen,DKK 59.942.371,Oxygen Constraints on Microbial Secretomes during Plant Cell Wall Turnover (OxyMiST),"University of Copenhagen, Department of Geosciences and Natural Resource Management",
2326,2020,Kei Sakamoto,DKK 892.143,Regulatory gamma isoform-specific role for AMP-activated protein kinase (AMPK) in glucose and energy metabolism,Københavns Universitet,Professor
2327,2020,Keisuke Yonehara,DKK 2.459.520,Heparan sulfate proteoglycan-mediated establishment of neuronal circuit asymmetry for motion processing,"Aarhus University, Department of Biomedicine",Associate Professor
2328,2020,"Keisuke Yonehara, Toke Bek, Stephan Sylvest Keller",DKK 4.996.374,BIRD? BIocompatible Retinal prosthesis for restoring visual computatios in blinding Diseases,Aarhus University,
2329,2020,Ken Anker Holst,DKK 250.000,NNF Naturfagslærerpris 2020 - Vest,"Nydamskolen, Vester Sottrup",
2330,2020,Kenneth Madsen,DKK 1.581.279,Does high dopamine responsively in a subset of neurons underlie their selective recruitment into memory engrams,"University of Copenhagen, Department for neuroscience",Associate Professor
2331,2020,Kerry Greaves,DKK 4.000.000,"Feminist Emergency: Women Artists in Denmark, 1960-Present",Københavns Universitet,
2332,2020,Kim Gladstone Herlev,DKK 5.992.899,"Skab Fremtidens Menneske - en tankevækkende udstilling om teknologi, der påvirker vores eksistens",Experimentarium,
2333,2020,Kim Jensen,DKK 2.999.703,Defining how mesenchymal-epithelial cross-talks shape the intestine,"University of Copenhagen, Biotech Research & Innovation Centre (BRIC)",Professor
2334,2020,Kim Theilgaard-Mönch,DKK 2.997.459,Curative low-tox Antibody-Drug Conjugate Therapy for Rare Malignant Systemic Mast Cell Disorders,Københavns Universitet,Chief Physician/Consultant (UK)
2335,2020,Kirsi Pietiläinen,DKK 9.999.992,Mitochondrial activation as a novel treatment paradigm for type 2 diabetes and obesity,University of Helsinki,
2336,2020,Kirsten Møller,DKK 3.000.000,The effect of ketamine on pathophysiology and functional outcome after severe acute brain injury,Rigshospitalet,Professor
2337,2020,Kirsten Rosenkilde,DKK 3.000.000,"ScienceOlympiaderne - de faglige olympiader i biologi, datalogi, fysik, geografi, kemi og matematik",Nørre Gymnasium,Project Manager
2338,2020,Kirstine Berg-Sørensen,DKK 12.539.717,Intracellular mechanics and diamond based sensing,"Technical University of Denmark, Department of Health Technology",Associate Professor
2339,2020,Kirsty Spalding,DKK 2.000.000,ADIPOSE TISSUE SENESCENCE IN HUMANS,Karolinska Institute,Senior Researcher
2340,2020,Kjeld Pedersen,DKK 2.837.100,Nanoscale Energy Generators (NEG),"Aalborg University, Department of Materials and Production",Professor
2341,2020,Københavns Professionshøjskole,DKK 44.406.000,Copenhagen Honours College for sygeplejestuderende,NA,
2342,2020,Københavns Universitet,DKK 5.355.376,"MOVEOUT: a cluster RCT of the efficacy, mechanisms, and mediation of an education outside the classroom intervention on adolescents’ physical activity",NA,
2343,2020,Københavns Universitet,DKK 1.900.000,The effect of high vs. moderate protein consumption during pregnancy on offspring body composition – The APPROACH Cohort,NA,
2344,2020,Krist Gernaey,DKK 2.715.000,"World Talent Campus II, Courses in advanced biotechnology manufacturing",Danmarks Tekniske Universitet,
2345,2020,Krister Wennerberg,DKK 15.577.896,High Content CRISPR Screening (HCCS) Facility,"University of Copenhagen, Biotech Research & Innovation Centre (BRIC)",Professor
2346,2020,Kristian Agmund Haanes,DKK 907.280,Vascurion - Preventing ischemic injury and preserve visual function,Rigshospitalet,
2347,2020,Kristian Handberg,DKK 4.000.000,"Exhibiting across the Iron Curtain: The forgotten trail of Danish artists exhibiting in the context of state socialism, 1965-1985.",Københavns Universitet,
2348,2020,Kristian Kiim Jensen,DKK 1.620.000,Prevention of surgical complications to the abdominal wall: Two RCTs to reduce morbidity and increase quality of life,Bispebjerg og Frederiksberg Hospitaler,Physician
2349,2020,Kristian Thorup-Kristensen,DKK 12.499.726,RootAccess - A novel field facility maximizing root zone access for research on root and climate interactions,"University of Copenhagen, Plant and Environmental Sciences",Professor
2350,2020,Kristina Holmegaard Nørskov,DKK 2.200.000,SEXUAL HEALTH IN PATIENTS WITH HEMATOLOGIC MALIGNANCY: Sexual symptom assessment and management,Rigshospitalet,
2351,2020,Kristine Færch,DKK 3.229.000,Time-Restricted Eating in the Treatment of Type 2 Diabetes,Steno Diabetes Center Copenhagen,
2352,2020,Kristoffer Haldrup,DKK 11.958.970,Aqueous solvation - understanding water as a solvent and reaction partner via ultrafast X-ray experiments,"Technical University of Denmark, Department of Physics",Senior Researcher
2353,2020,Kristoffer Raasted,DKK 2.000.000,New Connections: Queering the Radio Voice,Det Kongelige Danske Kunstakademi (Billedkunstskolerne),Kunstner
2354,2020,Lars Grøntved,DKK 2.720.000,Defining functional properties of SWI/SNF chromatin remodeling complexes in the liver,"University of Southern Denmark, Department of Biochemistry and Molecular Biology",Associate Professor
2355,2020,Lars Henning Pedersen,DKK 120.000,Socioeconomic Status and Termination of Pregnancy for Fetal or Chromosomal Anomalies,Aarhus Universitet,Professor
2356,2020,Lars Hestbjerg,DKK 2.998.800,CRISP: Circumventing Recurrent Incidents of Soft-rot Pectobacteriaceae in potato production,Københavns Universitet,
2357,2020,Lars Hestbjerg Hansen,DKK 497.000,Fecal Microbiota Transplantation,Københavns Universitet,
2358,2020,Lars Melholt Rasmussen,DKK 2.979.375,Novel molecular players in atherosclerosis: somatic mutations and epigenetic modifications.,Odense Universitetshospital,Professor
2359,2020,Lars Nilsson,DKK 500.000,Exploring therapeutic intervention in the ApoE-Trem2 pathway of Alzheimer's disease,University of Oslo,
2360,2020,Lars Peter Nielsen,DKK 411.201,Electromicrobiology 2021,Aarhus Universitet,Professor
2361,2020,Lars Tornbjerg,DKK 338.126,OUTBREAK - et læringsspil om pandemier og infektionsbiologi,Ahoot Media IVS,CEO
2362,2020,Laura Krone Larsen,DKK 2.200.000,Cognitive status and health-related quality of life in survivors of neurointensive care. An observational multicenter cohort study. (CogQoL-NICU ),Rigshospitalet,
2363,2020,Laura Roman,DKK 2.400.000,Biopolymer food matrices: Multiscale interactions of starch-protein systems,"Department of Food Science, Aarhus University",
2364,2020,Laura V. Florez,DKK 2.397.728,The interaction between the insect microbiome and pathogenic fungi: an underexplored dimension of pest control,"Department of Plant and Environmental Sciences, University of Copenhagen",
2365,2020,Lær for Livet,DKK 339.500,"Implementering af ""Guided Reading"" til anbragte og udsætte børn samt deres frivillige mentorer",NA,
2366,2020,Lea Haarup Gregersen,DKK 9.998.908,Guardians of transcriptional integrity: Regulation of mRNA transcript cleavage and termination by RNA polymerase II associated factors,"Department of Cellular and Molecular Medicine, University of Copenhagen",Postdoc
2367,2020,Leif Østergaard,DKK 2.992.815,The significance of peripheral nerve microcirculation and oxygenation in diabetic neuropathy.,Aarhus Universitet,Professor
2368,2020,Lene Juel Rasmussen,DKK 148.330,Symposium on New Hallmarks of Aging,Københavns Universitet,Professor
2369,2020,Lene Niemann Nejsum,DKK 10.000.000,The renal urinary concentration mechanism: towards a detailed model of AQP2 shuttling,"Department of Clinical Medicine, Aarhus University",Associate Professor
2370,2020,Lene Storgaard Brok,DKK 749.400,Læring af naturfaglige begreber gennem bogproduktion i indskolingen,Københavns Professionshøjskole,Head
2371,2020,Li Ren Ou,DKK 250.000,Precise and objective assessment of the cardinal motor symptoms of Parkinson’s disease,Paragit Solutions IVS,
2372,2020,Lilian Jallow,DKK 350.000,BOOST-cells as a therapy to treat Osteogenesis Imperfecta in unborn and young children,BOOST Pharma ApS,
2373,2020,Lilian Jallow,DKK 3.500.000,BOOST Pharma develops a first-in-class treatment for the orphan disease Osteogenesis Imperfecta to enable a better life for patients worldwide,BOOST Pharma ApS,
2374,2020,Line Vinterberg Frandsen,DKK 4.918.340,MatLab - fra auditorium til laboratorium,TECHCOLLEGE,
2375,2020,Lise Mette Rahbek Gjerdrum,DKK 2.036.708,Validation of diagnostic and prognostic molecular classifiers in mycosis fungoides,Sjællands Universitetshospital,Associate Professor
2376,2020,Liselotte Vogdrup Petersen,DKK 2.643.305,Psychiatric and Somatic Comorbidity in Anorexia Nervosa: Applying Genomic and Register Data to Identify Metabolic and Psychiatric Etiological Factors,Aarhus Universitet,Senior Researcher
2377,2020,Lone Gram,DKK 496.650,MSMM Conference: Microbial Secondary Metabolites in Microbiomes 2021,Danmarks Tekniske Universitet,Professor
