,Year,Reciever and Title,Grant size (DKK),Description,Project Category
315,2021,"Udviklingsindsats for unge kunstnere med fokus på mentoring, videnproduktion og international eksponering",150.000 kr.,Udviklingsindsatsen er rettet mod yngre kunstnere og understøtter dem bl.a. med mentoring og international eksponering. Indsatsen udvikles som del af CHARTs kernefokus i 2021 og vil videreudvikles over de næste tre år.,Aktuel kunst
316,2021,UKK Udviklingsprojekt 2021-22,300.000 kr.,"Foreningen UKK – Unge kunstnere og kunstformidlere modtager støtte til at gennemgå en udviklingsproces, så organisationsformen tilpasses og styrkes til at kunne agere mere udviklende og dermed fremtræde med perspektiver på strukturelle spørgsmål vedrørende billedkunstfeltet i Danmark.",Aktuel kunst
317,2021,Min vej Hjem - Horsens Kommune,782.000 kr.,"Horsens Kommune er en del af Min Vej Hjem, og vil i løbet af 2021 lave de første test af en ny indsats for anbragte unge.",Unge på kanten
318,2021,Min vej Hjem - Nordfyns Kommune,715.000 kr.,"Nordfyns Kommune er en del af Min Vej Hjem, og vil i løbet af 2021 lave de første test af en ny indsats for anbragte unge.",Unge på kanten
319,2021,Projekt Glemmebogen COVID19,94.000 kr.,Tillægsbevilling til dækning af ekstra udgifter i Projekt Glemmebogen relateret til COVID-19.,Aktuel kunst
320,2021,Min Vej Hjem - Proces,103.000 kr.,"Bikubenfonden har i 2020 gennemført innovationsprocessen Min vej Hjem, hvor udvalgte kommuner nyskaber overgangen fra anbringelse til eget hjem. Med denne bevilling støtter vi Min vej hjem kommunerne økonomisk i at fortsætte deres udviklingsarbejde i en mellemfase på 3-9 måneder efter afslutningen af min vej hjem forløbet i december 2020.",Unge på kanten
321,2021,Litteraturstudie fra VIVE om anbragtes overgang til voksenlivet,200.000 kr.,"Bikubenfonden ønsker at få tilvejebragt et litteraturstudie over undersøgelse af efterværnsindsatsen i Danmark, Norge og Sverige. VIVE udarbejder undersøgelsen.",Unge på kanten
322,2021,HAUT x UP Pop Up Residency,107.500 kr.,"Bevillingens formål er at teste behovet for et studio residency i København. Over 4 måneder samarbejder HAUT med Bikubenfonden om at realisere et kurateret Pop Up residency, der som pilotprojekt har til formål at arbejde mod et bæredygtigt økosystem for kunstnerisk udvikling og nyskabelse.",Aktuel kunst
323,2021,Akademiet for Social Innovation coronaforlængelse,499.000 kr.,"AFSI bidrager til løsninger på samfundsproblemer igennem social innovation. AFSI blev etableret i 2019 og fik støtte til en 3-årig etableringsfase. Grundet pandemien er aktiviteter blevet udskudt og derfor blev den eksisterende bevilling her forlænget med 1 år, så der bliver mulighed for at realisere det potentiale, der er opbygget indtil nu.",Unge på kanten
324,2021,Min vej Hjem - Aarhus Kommune,1.400.000 kr.,"Finansiering af en lille-skala afprøvning af to lovende konceptideer. Det første koncept ""En tryg base i et spændende ungemiljø"" skal teste potentialet i at bruge et eksisterende ungemiljø (Ungdomskulturhuset i Aarhus) som en base, hvor anbragte og tidligere anbragte unge kan komme på daglig basis og modtage vejledning, være en del af et fællesskab og deltage i aktiviteter. Det andet koncept skal teste hvordan appen ""NyBy"" (som er udviklet til sundhedssektoren i Norge) kan bruges til at mediere nye samarbejdsformer mellem frontpersoner og frivillige.",Unge på kanten
325,2021,Policy Lab 2022,2.000.000 kr.,"Bikubenfonden har inden for sporet ’anbragte unge i overgangen til voksenlivet’ arbejdet med politisk at skabe nye lovgivningsmæssige rammer for anbragte unge. Frem mod de politiske forhandlinger til foråret er der behov for at skabe markant politisk pres for at indføre en rettighedsbestemt hjælp og støtte til de unge. Derfor vil Bikubenfonden i regi af Policy Lab arbejde med to spor: Interessentvaretagelse (både politisk og bredere blandt vægtige aktører på området) og udarbejde en økonomisk analyse, som kan bidrage med konstruktive løsningsforslag på hvordan en rettighedsbaseret hjælp kan finansieres.",Unge på kanten
326,2021,Art Hub Copenhagen - Udstilling på Thoravej,300.000 kr.,"I 2023 flytter Art Hub Copenhagen fra sine nuværende lokaler på Halmtorvet 27 og ind i en til den tid nyrenoveret bygning på Thoravej 29, 2400 København NV. Bygningen skal til den tid huse Art Hub sammen med Bikubenfonden, Hjem til Alle m.fl. med blandt andet kunstneratelierer, værksteder, diskursive faciliteter, café m.v. Inden den store ombygning går i gang, initierer Art Hub, udstillingen Thoravej 29 og inviterer unge kuratorer og kunstnere til at udstille i bygningen. Udstillingen skal brande Thoravej som kommende kunstcentrum og innovativt community i NV.",Aktuel kunst
327,2021,Evaluering af Udviklingsplatformen for Scenekunst 2022,150.000 kr.,Midtvejsevaluering af Udviklingsplatformen for Scenekunst 2022.,Aktuel kunst
328,2021,Art Hub Copenhagen udvikling og drift 2022-2024,29.000.000 kr.,"BIkubenfonden støtter Art Hub Copenhagen, som er en faciliterende, eksperimenterende og netværksskabende kunstinstitution i København. Art Hub tilbyder residencies for kunstnere, internationale udviklingsprogrammer, tværfaglige fællesskaber og offentlige events, som præsenterer og diskuterer kunstnerisk arbejde og forskning. Art Hub er til for billedkunstnere, for forskere, for samarbejdspartnere og for alle, der nysgerrige på samtidens kunst.",Aktuel kunst
329,2021,Interne ressourcer Svanninge Bjerge,1.093.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Andre formål
330,2021,Huslejeomkostninger HTA-sekretariatet 2022,737.000 kr.,"Bevillingen gives med det formål at synliggøre det bidrag Bikubenfonden giver til Hjem til Alle sekretariatet i forbindelse med, at fonden stiller kontorfaciliter til rådighed for Hjem til Alle sekretariatet. Bevillingen vil blive indstillet en gang årligt, så længe sekretariatet bor hos Bikubenfonden.",Unge på kanten
331,2021,SMK Fridays Udviklingsaktiviteter 2022,500.000 kr.,Bevillingens formål er at støtte Bikubenfondens videre Task Force-forløb med det eksperimenterende formidlingsformat SMK Fridays på Statens Museum for Kunst. ,Aktuel kunst
332,2021,Task Force program 2022-2023,3.400.000 kr.,"Formålet med indsatsen er overordnet at udvælge organisationer og institutioner på scene- og billedkunstområdet, der er særligt talentfulde, men samtidig står med særligt udviklingspotentiale. Målet er gennem programmet at styrke deres økonomiske og organisatoriske bæredygtighed, strategiske fokus og internationale virke, for at de kan indfri deres kunstneriske potentiale.",Aktuel kunst
333,2021,SKITSE formidlingsindsats 2021,275.000 kr.,"SKITSE har modtaget midler til sit formidlingsarbejde med at udbrede kendskabet til talentfulde, yngre kunstnere og deres arbejdsmetoder gennem nye eventformater, udstillinger og samarbejder samt midler til en skærpet kommunikationsindsats, der kan tydeliggøre SKITSEs potentialer og kommunikationsmæssige handlemuligheder.",Aktuel kunst
334,2021,Stemmer fra blokken - Kulturlaboratorium i København,1.500.000 kr.,"Bikubenfonden bevilgede i 2019 midler til etablering af indsatsen ""Stemmer fra Blokken"" i hhv. Roskilde og Brøndby. Indsatsen handler om at udvikle og fastforankre ungedrevne kulturlaboratorier i udsatte boligområder. Denne bevilling muliggør etablering af indsatsen i kapellet på Assistens Kirkegård i København. Bevillingen matcher den driftsstøtte, som Københavns Kommune giver indsatsen.",Unge på kanten
335,2021,Interne ressourcer Social,3.700.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Unge på kanten
336,2021,Art Hub Copenhagen adm. 2021,287.000 kr.,Administrativ bevilling til drift af Art Hub Copenhagen i 2021.  ,Aktuel kunst
337,2021,Udvikling af community,1.205.000 kr.,"Bevillingen understøtter sekretariatets arbejde med HIVE Community i tre delvist overlappende faser frem mod indflytning på Thoravej. De tre faser dækker udvikling, afprøvning og implementering af strategi for HIVE Community.",Andre formål
338,2021,Rekruttering af direktør,250.000 kr.,Bevilling til processen vedr. ansættelse af ny direktør i alliancen Hjem til Alle.,Unge på kanten
339,2021,Program for Bora Bora Residency Centre 2018-22 COVID,150.000 kr.,Tillægsbevilling til dækning af ekstra udgifter i Bora Bora Residency Centre indsatsen relateret til COVID 19.,Aktuel kunst
340,2021,"Hjem til Alle, september 2023 til september 2025",8.600.000 kr.,Bikubenfonden støtter med denne bevilling finansieringen af backbonesekretariatet for Hjem Til Alle. Siden 2019 har HTA i stigende grad beskæftiget sig med den politiske arena med et ønske om en reform af hjemløseområdet. Dette skal muliggøres gennem et nyt strategisk fokus på systemforandring.,Unge på kanten
341,2021,Partnerskab Fix&Foxy og Bikubenfonden 2022- 2025,10.356.000 kr.,"Bikubenfonden har indgået et strategisk partnerskab med scenekunstkompagniet Fix&Foxy. Den fælles ambition for partnerskabet er at udvikle “Fix&Foxy international performance company” - et dansk fyrtårn i international scenekunst; et nyskabende, samarbejdende scenekunstkompagni med base i København. ",Aktuel kunst
342,2021,Min vej Hjem - Modnings- og implementeringsfase,15.000.000 kr.,"Under overskriften ”Min vej Hjem”, har Bikubenfonden i det sidste 1,5 år støttet udvalgte kommuner i at nyskabe overgangen fra anbringelse til eget hjem. Tre kommuner har i det små afprøvet deres koncepter i 2021 og sekretariatet har i de sidste måneder samarbejdet med kommunerne om at hæve ambitionsniveauet endnu mere i en kommende modnings- og implementeringsfase. De mere ambitiøse koncepter er nu beskrevet og der pågår p.t. et arbejde med at fastlægge scope, hovedaktiviteter, succeskriterier og økonomi for det videre arbejde. Bevillingen skal finansiere den kommende modnings- og implementeringsfase for de tre kommuner.",Unge på kanten
343,2021,Partnerskab om unge uden job og uddannelse – indspil til Reformkommissionen (Bortfaldet),1.204.000 kr.,"DENNE SAG BORTFALDER OG BELØBET OVERGÅR TIL FØLGENDE SAGER: CAS-08728-P1Y4T1, CAS-08739-M8R3X8, CAS-08741-Z5P3P1 OG CAS-08740-S2Q8C4.
Reformkommissionen skal i december 2022 aflevere anbefalinger til regeringen om, hvordan vi får løftet de knap 50.000 unge, der står uden job og uddannelse, og kommissionen har efterspurgt Bikubenfondens bud herpå. Bikubenfonden vil indgå i et partnerskab med Akademiet for Social Innovation, Socialt Udviklingscenter, Copenhagen Dome og Tuborgfondet med det formål at inspirere og understøtte Reformkommissionen og de beslutningstagere, som skal føre anbefalingerne ud i livet. Partnerskabet vil løfte en fælles indsats via tre spor: 1) Viden 2) Løsninger og 3) Kommunikation/PA. Ambitionen er at næste generation af reformer skabes sammen med unge og på tværs af sektorer – og at partnerskabskredsen udvides på sigt.",Unge på kanten
344,2021,Interne ressourcer Kultur 2021,5.500.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Aktuel kunst
345,2021,Kronprinsparrets Priser 2022,4.000.000 kr.,"Med Kronprinsparrets Priser sætter vi fokus på fremragende præstationer, nytænkning og høj kvalitet inden for kunst og kultur og socialt arbejde. Prismodtagerne udpeges af Kronprinsparret efter indstilling fra to rådgivende komitéer, der har ekspertise inden for enten kultur- og kunstområdet eller socialt arbejde.",Andre formål
346,2021,Partnerskabsmodel på kunstområdet,350.000 kr.,"Bevillingen understøtter fondens ønske om at indtage en proaktiv samarbejdsrolle som katalysator for udvikling, med mulighed for at udforske alternative veje og løsninger. Det er vores ambition at styrke dynamikken og kvaliteten i vores filantropiske arbejde ved at etablere partnerskaber, der bygger på gensidig åbenhed, tillid og samarbejde.",Aktuel kunst
347,2021,Analyse og rådgivning vedr. kommunesamarbejder,250.000 kr.,,Unge på kanten
348,2020,Ren Hang In Peace - (R.H.I.P.),100.000 kr.,"Ren Hang In Peace (R.H.I.P) er titlen på en doku- og researchbaseret scenekunstforestilling, der omhandler den kinesiske LGBTQAI+ kunstfotograf, Ren Hang (1987-2017). Forestillingen vises på fotoudstillingsstederne Fotografisk Center i København og Galleri Image i Aarhus. Der gøres brug af forskellige performative indslag som lydbilleder, musik, monolog og dialog, fotoopstillinger, posering og tableau. Lyddesign/lydfortælling vil være et stærkt bærende element i forestillingen, ikke kun for at formidle den danske oversættelse af de kinesiske tekster, men også for at give plads til beskuerens egne indre billeder sat over for den fotokunst, der kan opleves i udstillingsrummet.",Aktuel kunst
349,2020,KOLINDSUND,204.000 kr.,"Kolindsund er en udstilling i Kunsthal for Maritim Æstetik af billedkunstneren Kristoffer Ørum. Udstillingen arbejder med utopien om genetablering af Jyllands tidligere største sø i Kolindsund på Djursland. Inspireret af aktivisme og afrofuturisme, foregår en række parallelle begivenheder parallelt med udstillingen, som arbejder kunstnerisk med tema ud fra både klimapolitiske, sociologiske og hverdagslige vinkler. Aktiviteterne foregår både på lokale institutioner og på steder og i sammenhænge, der normalt ikke er forbundet med kunst.",Aktuel kunst
350,2020,More naked than flesh,200.000 kr.,"More naked than flesh er en performance baseret på Sapfos digte opført i forbindelse med Copenhagen Operafestival 2021 i samarbejde med Gyldendal og World Pride. Performancen er et tværæstetisk samarbejde mellem sceneinstruktør Liv Helm, komponist Matilde Böcher, forfatter Mette Moestrup og koreograf/billedkunstner Jules Fischer. Visionen er at bevæge det oldgræske materiale til en kontemporær form, hvor Sapfos ord, musik og performativitet vækkes til live.",Aktuel kunst
351,2020,Corona-aktivisterne - Kunsten ud i verden,113.193 kr.,"Kunstmuseum Brandts afprøver et nyt brugerinddragende formidlingsformat. I fire weekender i august vil museets formidlere cykle rundt i Odense og invitere alle til at deltage i en banner- og plakatworkshop, der med udgangspunkt i den aktuelle udstilling  skal give deltagerne mulighed for at sætte ord på de erkendelser, som er opstået under coronakrisen.",Aktuel kunst
352,2020,Mit museum,225.000 kr.,"Mit museum er et tiltag, hvor kunstnere udvikler online-multiples – anvisninger til små kunstværker, som brugerne selv kan skabe. Udstillingsaktuelle kunstnere på Esbjerg Kunstmuseum og kunstnere, der er repræsenterede i samlingen inviteres til at udvikle multiples til en platform på museets nye hjemmeside. Ideen er at gøre brugerne til aktive medskabere af små kunstværker efter kunstnernes anvisninger – kunstværker, der både kan præsenteres online og hænges op hjemme i stuen. Formatet integrerer værk og formidling, produktion og fortolkning og skaber en forbindelse mellem museum og dagligstue.",Aktuel kunst
353,2020,The Dancing Public,187.500 kr.,"The Dancing Public er danseforestilling baseret på historiske eksempler på dansemanier eller danse-epidemier, og på tanken om, at udbrud af ekstatisk og trancelignende dans altid skal forstås som en social og politisk begivenhed. Værket er koreograferet af Mette Ingvartsen som benytter fortælleteknikker, dans, gestik og følelsesbaserede udtryk. Som et andet skridt inviteres publikum også til at deltage i et kollektivt dansemaraton.",Aktuel kunst
354,2020,Close Encounters - En koreografisk udstilling,275.000 kr.,"Med Close Encounters #3 fortsætter Dansehallerne sit samarbejde med Den Frie Udstillingsbygning, hvori det konventionelle udstillingsformat skaber rammen for en dybere undersøgelse af begrebet ""koreografisk udstilling"". Vi videreudvikler og forfiner konceptet samt måden, hvorpå mødet mellem dansen/koreografien og samtidskunsten skabes og iscenesættes for et udvidet publikum. Målet er en udstilling, hvor de koreografiske værker påvirker og interagerer med de besøgende og omvendt. De inviterede koreografer og kunstnere er: Adèle Essle Zeiss (SE), Andros Zins-Brownes (US), Sonja Jokkiniemi (FI), Margrét Sara Guðjónsdóttir (IS/DE), Erna Ómarsdóttir & Valdimar Jóhannssons (IS) og Christian Falsnaes’ (DK).",Aktuel kunst
355,2020,Interessevaretagelse på kunstområdet,2.500.000 kr.,"I 2020 søsatte vi en undersøgelse af billedkunstens emotionelle, intellektuelle og sociale betydning som et pilotprojekt i Odense, Vejle og Aalborg Kommune. Siden er undersøgelserne blevet gennemført i Bornholms regionskommune samt Esbjerg, Holstebro, Ishøj, Viborg og Aarhus Kommune. Desuden er metoden udviklet til også at omfatte scenekunstens betydning. Undersøgelsen er lavet med ambitionen om at styrke politikernes bevidsthed og den politiske samtale om kunstens betydning. Samarbejdet med kommunerne og arbejdet omkring udbredelse af metoderedskab og vidensgrundlag fortsætter i 2022.",Aktuel kunst
356,2020,Policy Lab,300.000 kr.,"I regi af Policy Lab, et politisk laboratorium, har vi samlet centrale aktører på feltet om politiske anbefalinger til at forbedre anbragte unges overgang til voksenlivet.",Unge på kanten
357,2020,De Anbragtes Vilkår - Udviklingsforløb,3.268.000 kr.,Bikubenfonden har tildelt De anbragtes Vilkår en 2-årig bevilling med henblik på at styrke og udvikle organisationen og dermed styrke anbragte unges vilkår.,Unge på kanten
358,2020,MYOB Akademi 2021-2024,6.500.000 kr.,"Bikubenfonden støtter Mind Your Own Business' arbejde for, at styrke drenge fra udsatte boligområders faglige kompetencer og sociale relationer gennem erhvervsrettet og personlig opkvalificering. Denne bevilling går til MYOB's drift 2021-2023, udviklingen af en bæredygtig finansieringsplan samt forsættelsen af et register- og antropologisk studie, der kan belyse indsatsens langvarige effekter.",Unge på kanten
359,2020,"Innovationskraft I en krisetid – kortlægning, læring og perspektiv fra Corona-responsen",597.862 kr.,"Bikubenfonden støtter udarbejdelsen af en analyse af den nyskabelse der er udvist på socialområdet under COVID-19. Formålet er at øge chancen for, at den innovationskraft der er blevet udvist kan være springbræt for at rykke andre hegnspæle i den sociale sektor post-corona
Analysen gennemføres i et samarbejde med tænketanken Mandag Morgen.",Unge på kanten
360,2020,Kronprinsparrets Priser 2020,4.000.000 kr.,"Med Kronprinsparrets Priser sætter vi fokus på fremragende præstationer, nytænkning og høj kvalitet inden for kunst og kultur og socialt arbejde. Prismodtagerne udpeges af Kronprinsparret efter indstilling fra to rådgivende komitéer, der har ekspertise inden for enten kultur- og kunstområdet eller socialt arbejde.",Andre formål
361,2020,TUBA i Natur til et godt liv – Laboratoriet 2019-2021,849.000 kr.,"Formålet med samarbejdet mellem TUBA og NTGL LAB er at undersøge, hvad natursociale indsatser betyder for sårbare unge, der har haft misbrug tæt på livet gennem deres opvækst. Samarbejdet skal give indblik i, hvordan naturen kan anvendes i deres egen hverdag som en trivselsfremmende faktor.",Unge på kanten
362,2020,Min vej hjem - udvidet scope for evaluering af innovationsprocessen,73.125 kr.,"Bikubenfonden har ønsket at øge ambitionsniveauet for evaluering af innovationsprocessen ""Min vej hjem"". Bevillingen giver mulighed for at interviewe en udvidet aktørkreds om værdien af innovationsprocessens delelementer, så erfaringerne kan danne grundlag for tilrettelæggelsen af fremtidige innovationsprocesser på socialområdet.",Unge på kanten
363,2020,Højskole uden mure - ekstra bevilling grundet Covid 19,168.514 kr.,Bevillingen er givet som et ekstra tilskud som følge af Covid-19.,Unge på kanten
364,2020,Haut x Bikubenfonden Residency Pop Up,833.000 kr.,Intern uddeling.,Aktuel kunst
365,2020,AAT STREAM (vedr. puljen 'Sammen om kunsten'),300.000 kr.,"Aalborg Teater vil med AAT STREAM etablere en permanent digital scene på en af teatrets scener, hvorfra en række live-streamede events skal finde sted. Med en eksperimentel tilgang vil det centrale spørgsmål være: Hvordan kan digitale medier og kommunikationsformer bruges til at skabe en anden udgave af interaktionen mellem scene og sal, end den vi kender fra en live teaterforestilling?",Aktuel kunst
366,2020,CELESTE,300.000 kr.,"CELESTE er et gesamtkunstværk som består af en audiovisuel totalinstallation og en performancerække af scenekunstneriske forestillinger. Fire kunstnere arbejder i spændingsfeltet mellem performance, dans, skulptur og musik, og værket udfordrer grænserne mellem æstetiske traditioner, værk og beskuer. Det kunstneriske samarbejde udføres af billedkunstner Lea Guldditte Hestelund, pianist og komponist August Rosenbaum, danser og koreograf Ea Verdoner og cellist og komponist Cæcilie Trier. En duftoplevelse af duftkemikeren Lisbeth Jacobsen indgår også, ligesom den danske designer Cecilie Bahnsen bidrager med kostumer til projektet. I skiftet mellem installation og forestilling erstattes den fysiske, koreograferede dansers krop med en film produceret med den danske filmfotograf Jasper Spanning. Der planlægges 14 forestillinger over en 2 1/2 måneds udstillingsperiode i kunsthallen Copenhagen Contemporary.",Aktuel kunst
367,2020,Experience (arbejdstitel),125.000 kr.,"I en hyper-individualiseret kultur undersøger forestillingen experience forholdet mellem dans, begær og tilskuere. Hvordan er dans med til at producere begær, hvad betyder tilskuernes tilstedeværelse og opførsel undervejs i en forestilling, og kan man ved at ”hacke” dans udvikle nye former for erotik? Forestillingen er en international co-produktion, der bliver udviklet på residencies i Danmark og udlandet og realiseret af koreograf og performer Adriano Wilfert Jensen i samarbejde med internationale kunstnere fra dans, billedkunst, performance og musik.",Aktuel kunst
368,2020,THE WAKE OF SLEEP - SIDE A & SIDE B,90.000 kr.,"Sara Gebrans kunstneriske projekt THE WAKE OF SLEEP – SIDE A & SIDE B er en undersøgelse af ”social intimacy” og af, hvordan man som kunstnere kan skabe sammen uden at være fysisk sammen. To adskilte performances opføres for publikum, og filmes og streames oveni hinanden, så der skabes et helt tredje værk, som kan opleves online. Med koreografer/performere Rebecka Stillman, Karis Sidore, Olivia Riviere, scenograf Maria Stiernborg, lysdesigner Flora Brandt og producent Amalie Bergstein.",Aktuel kunst
369,2020,"GRÅTT, en danseforestilling omkring ejerskab til egen krop",100.000 kr.,"Med afsæt i fænomenet stress, skaber koreograftalentet Hilde I. Sandvold et kroppens manifest; om stresstilstandens apatiske krop og rejsen til et vågent, virtuost og kommunikerende menneske. Forestillingen skabes med komponist Julian Skar (NO), danser Niklas Valenti (IT), scenografduoen KASPERSOPHIE (DK), lysdesigner Seth Williams (UK) og dramaturg Thomas Schaupp (DE) og vises på Bora Bora og Dansehallerne.",Aktuel kunst
370,2020,STALKER - En stedspecifik audiowalk som opfylder alle dine drømme,270.000 kr.,"Fix&Foxy samarbejder med podcast kunstner Tim Hinman fra THIRD EAR om at udvikle en audiowalk og app-baseret forestilling, STALKER, med udgangspunkt i den russiske kunstfilm af Andrei Tarkovsky.",Aktuel kunst
371,2020,"Sisters Academy – The Takeover, IIIKOJA 204, Skt. Petersborg, Russia",300.000 kr.,"Dansk Kulturinstitut og Sisters Hope har indledt et strategisk samarbejde om at eksportere Sisters Hopes særlige metode for at undersøge, hvordan vi sanser og er sammen i forskellige kulturer. Første skridt er pilotprojektet ”IllKOJIA 204”, som er et takeover af en russisk folkeskole i to uger, hvor lærere og elever sammen udforsker nye former for sanselig og poetisk læring samt forbundethed på tværs af grænser. Formålet med samarbejdet mellem Dansk Kulturinstitut og Sisters Hope er at skabe unikke muligheder for internationale visninger af formater udviklet i dansk kontekst, og projektet i Rusland skal danne baggrund for de næste ønskede takeovers i Kina, Letland, Ukraine, Indien, Brasilien og Arktis, hvor kulturinstituttet også er til stede.",Aktuel kunst
372,2020,The Market,200.000 kr.,"I den nye underjordiske kunsthal Simian ved Fields opstår et labyrintisk vrangbillede af storcenteret; et forladt og hjemsøgt marked med forlystelser og talløse boder af enhver art i mere eller mindre fremskreden grad af opløsning. SIGNA er kendt for immersive projekter, hvor publikum over mange timer er i tæt interaktion med et stort hold af performere. The Market er fundamentalt anderledes og en afsøgning af nye måder at engagere publikum på i krydsfeltet mellem performance og billedkunst, i lyset af vores destabiliserede virkelighed.",Aktuel kunst
373,2020,Extensions Vol 2 & 3,157.000 kr.,"Radar Contemporary er en virtuel og fysisk platform for samtidskunstnere, der fokuserer på digital samtidskunst ofte skabt af nye teknologier såsom 3D scanning, virtual reality, augmentet reality, algoritmer, artificial intelligence og 3D lyd. Extensions er gruppeudstillinger med en tematik , der tager udgangspunkt i . Hvad sker der, når man påfører et fysisk værk en ny digital dimension?",Aktuel kunst
374,2020,Kunst i en krisetid,20.000 kr.,"Unge Kunstnere og Kunstformidlere (UKK) vil i partnerskab med biennalen Alt_Cph, som kurateres af Laboratoriet for Æstetik og Økologi, facilitere et 2-dages symposium samt netværksmøde for nordiske samtidskunst-organisationer (AOOO). Eventet vil finde sted på Fabrikken for Kunst og Design den 25-26. september 2020. Formålet er at skabe ny viden om samtidskunsten i og efter krisetider, og om kunstpolitik på tværs af de skandinaviske grænser.",Aktuel kunst
375,2020,Laboratoriet for Æstetik og Økologi – m/others,150.000 kr.,"m/others er et udstillingsprojekt i, der kigger på forhold mellem moderskab og andethed. Igennem tværdisciplinære samarbejder vil projektet undersøge, hvordan moderskabsidealer opstår igennem naturalisering af visse omsorgsteknologier. Projektet bliver vist som en udstilling på en nedlagt fødeafdeling på Amager Hospital, som et samarbejde med platformen ARIEL, og som et symposium med Medicinsk Museion.",Aktuel kunst
376,2020,Rådgivning og udvikling til Siunissq,130.000 kr.,"Siunissaq modtager en bevilling til at få rådgivning og udvikling af ny konceptbeskrivelse og aktionsplan, der giver bæredygtig udvikling og finansiering baseret på Siunisaqqs resultater, metoder og netværk.",Unge på kanten
377,2020,Udvikling af atelierindsats,461.000 kr.,"Bikubenfonden etablerede i 2014 Bikubenfondens atelierprogram. Målet med atelierprogrammet er at tilføre værdi til kunstnernes fremtidige karriere ved, at de på et kritisk tidspunkt i deres arbejdsliv får stillet såvel fysiske rammer som professionel rådgivning til rådighed. Målet er også på sigt at være med til at udvikle og kvalificere den danske kunstscene. Med seks år erfaringer fra atelierprogrammet ønsker Bikubenfonden nu at gentænke programmet og teste nye tilgange til, hvordan vores erfaringer og ressourcer kan anvendes til gavn for flere kunstnere. En del af udviklingen foretages i samarbejde med atelierprogrammets nuværende kunstnere.",Aktuel kunst
378,2020,Staging the Future of Technologies COVID-19,63.000 kr.,Støtte til dækning af ekstra udgifter grundet COVID19 i forbindelse med realisering af to tværæstetiske gruppers showcase eksperiment i januar 2021. Showcases vises i nyt format på Kulturværftet i Helsingør og på Det Frie Felts Festival (DFFF) i København.,Aktuel kunst
379,2020,Haut x Bikubenfonden Residency Pop Up COVID-19,26.000 kr.,Bevilling til realisering af HAUT x Bikubenfonden Residency Pop Up der grundet COVI19 kræver flere arbejdstimer for at færdiggøre indsatsen,Aktuel kunst
380,2020,Danmarkshuset i Paris – Les automnes de la Maison du Danemark 2021-23,300.000 kr.,Danmarkshuset lancerer i 2021 en ny kuratorisk strategi. I tre efterårssæsoner (2021-23) inviteres franske kuratorer gennem et open call til at skabe udstillinger med dansk samtidskunst i Danmarkshuset på Champs-Elysées i Paris. Formålet er at sikre langsigtet forankring af de danske kunstneres værker på den franske scene.,Aktuel kunst
381,2020,Strategiforløb i Mind Your Own Business,150.000 kr.,"Trygfonden og Bikubenfonden vil sammenlagt bevilge et beløb på 300.000 kr. Dette til at få konsulentfirmaet Implement til hjælpe MYOB med bl.a. at få analyseret og afdækket betalingsvilligheden hos kommunerne, erhvervslivet m.v., og for at se om der er områder, som ikke er med i strategien nu og som MYOB med fordel kan tage fat i. ",Unge på kanten
382,2020,Strategiske partnerskaber på det sociale område,200.000 kr.,Bikubenfonden vil fremadrettet arbejde med en model for strategiske partnerskaber på det sociale område. Denne bevilling skal bruges til at eksterne ressourcer kan hjælpe med at kvalificere den endelig model herfor.,Unge på kanten
383,2020,Vidensportal - Den Sociale Investeringsfond,750.000 kr.,"Bikubenfonden har bevilget 750.000 kr. til Den Sociale Investeringsfond til at etablere en vidensportal, der skal skabe et centralt og fælles udgangspunkt for arbejdet med sociale investeringsprogrammer.",Unge på kanten
384,2020,Task Force test,750.000 kr.,Bikubenfonden tester hvordan man kan lave udviklingsforløb for kunstinstitutioner.,Aktuel kunst
385,2020,Børn og Unge i Danmark – velfærd og trivsel 2022,2.000.000 kr.,"Bikubenfonden støtter initiativet Børn og unge i Danmark - Velfærd og trivsel 2022 med midler til at indsamle data, analysere og afrapportere 4. runde af panelundersøgelsen om Børn og Unge i Danmark – velfærd og trivsel, som Bikubenfonden initierede i 2008 og som hidtil er udkommet i 2010, 2014 og 2018.",Unge på kanten
386,2020,Oplysningskampagne til børn og unge i Grønland vedr. Corona,300.000 kr.,Bikubenfonden har bevilget 300.000 kr. til Unicef i forbindelse med Corona-krisen. Midlerne bruges til oplysning om forebyggelse af Corona hos grønlandske børn og unge.,Unge på kanten
