"Country","Description","Foundation_name","Grant_size_(DKK)","Institution","Project_Category","Project_Subcategory","Receiver","Receiver_Name","Receiver_Profession","Receiver_Title","Region","Title","Unnamed: 0","Unnamed: 1","Year","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"","Bevillingen dækker mindre adm. omkostninger på Bikubenfondens kulturelle område.","BIKUBBEN",100000,"","Aktuel kunst","","","","","Mindre adm. omkostninger 2015 - kultur","","",7405,7423,2015,1355,"1","2024-10-31T11:15:25.328042Z",7406,20.827,"Daughter Foundation","2024-10-31T11:15:25.328067Z"
"","Bikubenfonden støtter projektet FJENDE og NABO - Hanstholm besat.
Der er tale om et nyt udstillingskoncept på Museumscenter Hanstholm, som sætter fokus på forholdet mellem danskerne og de tyske soldater under besættelsen, herunder med personlige genstande fra tyske soldater, jævne danske Hanstholmborgere og tyske ofre for nazismen, der mødte deres endeligt ved fæstningen.","BIKUBBEN",200000,"","Aktuel kunst","","","","","FJENDE og NABO - Hanstholm besat","","",7456,7474,2014,402,"1","2024-10-29T11:22:02.740390Z",7457,17.338,"Culture","2024-10-29T11:22:02.740417Z"
"","Bikubenfonden støtter HEARTdesign til udvikling af museets udstillingskategori fra 2014-2016. Modstand er den første af udstillingerne, der undersøger dialogen mellem ikoniske modkulturer og samtidens kritiske modeskabere. Udstillingen kurateres i samarbejde med Phd Ane Lynge Jorlén. Udstillingen afholdes i foråret 2014.","BIKUBBEN",700000,"","Aktuel kunst","","","","","HEARTdesign","","",7471,7489,2014,828,"1","2024-10-30T14:16:20.247958Z",7472,3.121,"Culture","2024-10-30T14:16:20.247985Z"
"","Bikubenfonden støtter projektet Jernring.
Jernring” er et billeddigt af belejringen og hungersnøden i Leningrad under Anden Verdenskrig, den begivenhed som Shostakovitchs, Leningrad Symfoni, handler om. En poetisk og visuel rejse igennem et tonalt flammehav, igennem fortissimo og bombardement, adagio og lidelse.","BIKUBBEN",80000,"","Aktuel kunst","","","","","Jernring","","",7473,7491,2014,1628,"1","2024-11-01T12:39:05.964514Z",7474,2.868,"Culture","2024-11-01T12:39:05.964540Z"
"","Bikubenfonden har bevilget støtte til realisering af ""GAIA"", et værk skabt i samarbejde mellem Lydenskab, performance- og billedkunstner Lilibeth Cuenca Rasmussen og komponist Pete Drungle. Med ""GAIA"" ønskes gennem et opsigtsvækkende værk at bringe fokus på kvindens rolle i samfundet i dag. ""GAIA"" åbner WUNDERGRUND festival den 27. oktober på Skuespilhuset. Bevillingen hører til Bikubenfondens pulje til små scenekunstbevillinger 2013.","BIKUBBEN",90000,"","Aktuel kunst","","","","","GAIA","","",7579,7597,2013,779,"1","2024-10-30T14:00:37.546663Z",7580,7.237,"Culture","2024-10-30T14:00:37.546694Z"
"","Bikubenfonden støtter produktionen af ""Frygt & Bæven"", et skuespil efter motiver i Søren Kierkegaards værk af samme navn. Forestillingen har til formål at placere de centrale temaer i Kierkegaards værk i en samtidig og vedkommende kontekst, der henvender sig til både et ungt publikum og det interesserede teaterpublikum. ""Frygt & Bæven"", skrevet af Roland Schimmelpfennig, er en del af den officielle markering af Søren Kierkegaards 200-års fødselsdag. Bevillingen hører til Bikubenfondens pulje til små scenekunstbevillinger 2013.","BIKUBBEN",100000,"","Aktuel kunst","","","","","Frygt & Bæven","","",7583,7601,2013,516,"1","2024-10-29T14:24:03.687858Z",7584,3.084,"Culture","2024-10-29T14:24:03.687897Z"
"","Bikubenfonden har bevilget støtte til samarbejdsprojektet ""Christianshavn - kunst i kvarteret"", et samarbejde iværksat mellem Overgaden - Institut for Samtidskunst og studerende fra de tre danske kunstakademier. Sammen skaber parterne kunst i det offentlige rum på Christianshavn og Holmen i sommeren 2013. Formålet med udstillingen er at styrke tilknytningen til lokalmiljøet samt stimulere debatten og interessen for samtidskunst blandt det publikum, som ellers ikke færdes på kunstinstitutionerne.","BIKUBBEN",70000,"","Aktuel kunst","","","","","Christianshavn - kunst i kvarteret","","",7586,7604,2013,660,"1","2024-10-30T12:33:17.315494Z",7587,2.458,"Culture","2024-10-30T12:33:17.315534Z"
"","Bikubenfonden har beviliget støtte til nycirkuskompagniet Cikaros' version af Saint-Exuperys 'Den Lille Prins'. Forestillingen, som er for de 10-13-årige, udforsker den lille prins i os alle, og minder os om, hvor vigtigt det er at bevare umiddelbarheden og fantasien i overgangen mellem barn og voksen. Bevillingen hører til Bikubenfondens pulje til små scenekunstbevillinger 2013.","BIKUBBEN",50000,"","Aktuel kunst","","","","","Den Lille Prins","","",7592,7610,2013,636,"1","2024-10-30T12:16:57.333784Z",7593,5.103,"Culture","2024-10-30T12:16:57.333826Z"
"","","BIKUBBEN",30000,"","Unge på kanten","","","","","Gabriel Jensens Ferieudflugters sommeraktiviteter","","",7637,7655,2013,1028,"1","2024-10-31T07:44:31.475638Z",7638,6.91,"Social Purpose","2024-10-31T07:44:31.475669Z"
"","Bikubenfonden har bevilget 4,45 mio. kr. til naturformidling og drift af Svanninge Bjerge 2013 på Fyn. Bikubenfonden ejer og driver naturområdet.","BIKUBBEN",4450000,"","Andre formål","","","","","Naturformidling og drift for Svanninge Bjerge 2013","","",7657,7675,2012,22,"1","2024-10-24T12:24:42.276071Z",7658,12.545,"Nature Preservation and environment","2024-10-24T12:24:42.276102Z"
"","Fonden er blevet stiftet med indskud af 60 mio. kr. Fonden skal eje og drive oplevelsesparken Universe","BOM",60000000,"","","","Fonden Universe Science Park","","","","","",7661,7679,2012,124,"1","2024-10-28T13:32:22.346813Z",7662,26.381999999999998,"Education and public information","2024-10-28T13:32:46.783023Z"
"","DTU har modtaget DKK 2 mio. som led i et strategisk partnerskab med Danfoss og DTU Center for Electric Power and Energy (CEE).","BOM",2000000,"","","","Dansk Tekniske Universitet","","","","","",7685,7703,2014,1967,"1","2024-11-04T11:23:16.600277Z",7686,7.922,"Research and Science","2024-11-04T11:23:16.600317Z"
"","SønderjyskE Ishockey har modtaget DKK 100.000 til flyvning til udekampe i Finland i Champions Hockey League.","BOM",100000,"","","","SønderjyskE Ishockey","","","","","",7699,7717,2014,409,"1","2024-10-29T11:33:40.847126Z",7700,19.763,"Social Purpose","2024-10-29T11:33:40.847166Z"
"","Fabrikant Mads Clausens Fond har modtaget 20 mio. kr. til uddeling til almenvelgørende formål.","BOM",20000000,"","","","Fabrikant Mads Clausens Fond 2015","","","","","",7702,7720,2015,441,"1","2024-10-29T13:21:07.425404Z",7703,7.625,"Daughter Foundation","2024-10-29T13:21:07.425444Z"
"","Projekt Asylcenter har modtaget 1,3 mio. kr. til at etablere initiativer, der sikrer asylansøgernes arbejdsparathed og erhvervslivskendskab i Sønderborg-området.","BOM",1300000,"","","","Projekt Asylcenter 2015","","","","","",7704,7722,2015,946,"1","2024-10-30T15:10:14.107566Z",7705,7.821,"Business- and regional development","2024-10-30T15:10:14.107590Z"
"","Modtaget 59,4 mio. kr. til opgradering af faciliteter samt nyskabelser i parken for sæson 2017 og 2018, samt parkens løbende drift.","BOM",59400000,"","","","Fonden Universe Science Park","","","","","",7733,7751,2017,1914,"1","2024-11-01T16:36:48.651642Z",7734,53.0,"Education and public information","2024-11-01T16:36:48.651668Z"
"","Modtaget 1,0 mio. kr. til renovering af Nord-Als Idrætscenter","BOM",1000000,"","","","Nord-Als Idrætscenter","","","","","",7748,7766,2018,1986,"1","2024-11-04T12:03:45.443919Z",7749,30.897,"Health","2024-11-04T12:03:45.443945Z"
"","Modtaget 100 tkr. til udarbejdelse af en promotion-film i forbindelse med fejring af Genforeningen 2020","BOM",100000,"","","","Sekretariatet for Genforeningen 2020","","","","","",7755,7773,2018,421,"1","2024-10-29T11:38:52.711271Z",7756,4.151,"Culture","2024-10-29T11:38:52.711311Z"
"","Foreningen Als-Fyn Broen har modtaget 1,7 mio. kr. til videreførelse af projektet.","BOM",1700000,"","","","Foreningen Als-Fyn Broen","","","","","",7786,7804,2020,1940,"1","2024-11-04T11:07:01.735620Z",7787,11.819,"Business- and regional development","2024-11-04T11:07:01.735678Z"
"","Sønderborg Kommune har modtaget totalt 600 tkr. til at videreføre Vækstrådets iværksætter indsats i 2020 og 2021.","BOM",600000,"","","","Vækstrådet","","","","","",7789,7807,2020,259,"1","2024-10-28T14:44:29.121695Z",7790,7.172,"Business- and regional development","2024-10-28T14:44:29.121738Z"
"","Modtaget 1,3 mio. kr. til et postdoc forløb med fokus på udviklingen i Sønderborg","BOM",1300000,"","","","Syddansk Universitet Sønderborg, postdoc","","","","","",7818,7836,2022,1891,"1","2024-11-01T16:32:28.989387Z",7819,3.699,"Research and Science","2024-11-01T16:32:28.989419Z"
"","Modtaget 5,5 mio. kr. til udskiftning af orglet i Gråsten Slotskirke","BOM",5500000,"","","","Slots- og Kulturstyrelsen","","","","","",7825,7843,2023,1730,"1","2024-11-01T14:35:24.787744Z",7826,6.131,"Religion","2024-11-01T14:35:24.787772Z"
"","Forskningspris 2024 - Personlig bevilling","CARLSBERG",500000,"","Strategic Grants","","Jesper Qualmann Svejstrup","","","","","",7841,7859,2024,1399,"1","2024-10-31T13:53:27.875182Z",7842,3.811,"Research and Science","2024-10-31T13:53:27.875218Z"
"","Narratives for Change: Exploring Climate Fiction and Eco-Literacy in Action","CARLSBERG",73900,"University of Southern Denmark","Conferences","","Bryan Yazell","","","","","",7852,7870,2024,48,"1","2024-10-24T13:00:09.693366Z",7853,38.229,"Nature Preservation and environment","2024-10-24T13:00:09.693393Z"
"","Understanding Informed Consent","CARLSBERG",1220000,"London School Of Economics, UK","Internationalisation Fellowships","","Lauritz Munch","","","","","",7903,7921,2024,879,"1","2024-10-30T14:30:34.916204Z",7904,13.427,"Research and Science","2024-10-30T14:30:34.916229Z"
"","2025-2027: Livestreaming af foredrag til biografer, kulturhuse, skoler, biblioteker, folkeuniversiteter og foreninger mv. i Danmark, Grønland, Færøerne og Sydslesvig","CARLSBERG",6000000,"Aarhus University","Strategic Grants","","Jens Holbech","","","","","",7917,7935,2024,1665,"1","2024-11-01T12:44:09.236526Z",7918,18.035,"Education and public information","2024-11-01T12:44:09.236553Z"
"","The 20th OTSEM Conference","CARLSBERG",17500,"Aarhus University","Conferences","","Elisa Uusimäki","","","","","",7967,7985,2024,206,"1","2024-10-28T14:29:30.621767Z",7968,6.484,"Research and Science","2024-10-28T14:29:30.621799Z"
"","Voice control – Live. Learn. Evolve…","CARLSBERG",9996000,"University of Southern Denmark","Semper Ardens: Accomplish","","Coen Elemans","","","","","",8019,8037,2023,1073,"1","2024-10-31T07:50:52.886966Z",8020,31.749,"Research and Science","2024-10-31T07:50:52.887006Z"
"","Acid-base sensing and responses at tissue, cell and organelle level: Untangling the heterogeneity","CARLSBERG",1778250,"University of Copenhage","Research Infrastructure","","Stine Falsig Pedersen","","","","","",8045,8063,2023,947,"1","2024-10-30T15:10:18.108760Z",8046,3.824,"Research and Science","2024-10-30T15:10:18.108906Z"
"","Establishing infrastructure to quantify spore concentrations in the European air using molecular methods","CARLSBERG",429470,"Aarhus University","Research Infrastructure","","Carsten Ambelas Skjøth","","","","","",8046,8064,2023,1228,"1","2024-10-31T09:53:29.316953Z",8047,7.474,"Research and Science","2024-10-31T09:53:29.316995Z"
"","In vivo imaging – An innovative approach to pharmaceutical research","CARLSBERG",866656,"University of Copenhage","Research Infrastructure","","Anne-Marie Heegaard","","","","","",8055,8073,2023,165,"1","2024-10-28T13:47:56.489408Z",8056,3.318,"Research and Science","2024-10-28T13:47:56.490122Z"
"","Deciphering the role of frost flowers and sea ice brine skim formation on cloud processes in the Arctic","CARLSBERG",339200,"Aarhus University","Field Trips / Research Stays >100,000","","Brian Sorrell","","","","","",8057,8075,2023,102,"1","2024-10-28T13:25:47.287178Z",8058,7.786,"Research and Science","2024-10-28T13:25:47.287219Z"
"","MAKRO: Mapping Alternative Knowledge Resources and Obtainment in Macroeconomics","CARLSBERG",4998449,"Copenhagen Business School","Semper Ardens: Accelerate","","Oddny Helgadottir","","","","","",8070,8088,2023,898,"1","2024-10-30T14:52:50.030796Z",8071,651.198,"Research and Science","2024-10-30T14:52:50.030837Z"
"","Catchment area analysis for Vejle Å","CARLSBERG",451889,"University of Southern Denmark","Research Infrastructure","","Theis Kragh","","","","","",8095,8113,2023,24,"1","2024-10-24T12:25:00.926893Z",8096,10.356,"Research and Science","2024-10-24T12:25:00.926934Z"
"","Multidimensional symbolic dynamics and C*-algebras","CARLSBERG",1397000,"University of Glasgow","Reintegration Fellowships","","Kevin Aguyar Brix","","","","","",8117,8135,2023,1923,"1","2024-11-01T16:38:14.439361Z",8118,9.632,"Research and Science","2024-11-01T16:38:14.439402Z"
"","Novel metabolic adaptations to extreme oxygen deprivation","CARLSBERG",1409541,"University Hospital Cologne","Reintegration Fellowships","","Amanda Bundgård","","","","","",8134,8152,2023,1349,"1","2024-10-31T11:01:53.462033Z",8135,3.273,"Research and Science","2024-10-31T11:01:53.462080Z"
"","Biosensor instrument for ligand interactions of membrane proteins","CARLSBERG",2412508,"Aarhus University","Research Infrastructure","","Bjørn Panyella Pedersen","","","","","",8139,8157,2023,1788,"1","2024-11-01T14:56:54.910730Z",8140,99.382,"Research and Science","2024-11-01T14:56:54.910770Z"
"","Transport and function of sterols and sphingolipids in Hedgehog signaling in primary cilia","CARLSBERG",7228000,"University of Southern Denmark","Semper Ardens: Accomplish","","Daniel Wüstner","","","","","",8149,8167,2023,1684,"1","2024-11-01T14:22:00.858592Z",8150,2282.304,"Research and Science","2024-11-01T14:22:00.858623Z"
"","Fragment-screening platform for finding inhibitors of oxidative stress and inflammation","CARLSBERG",1952999,"University of Copenhage","Research Infrastructure","","Anders Bach","","","","","",8159,8177,2023,1034,"1","2024-10-31T07:45:16.745396Z",8160,2.378,"Research and Science","2024-10-31T07:45:16.745440Z"
"","Raman spectroscopic investigation of rare earth element minerals from Greenland (RaMin)","CARLSBERG",1678787,"University of Copenhage","Research Infrastructure","","Kristoffer Szilas","","","","","",8166,8184,2023,534,"1","2024-10-29T14:26:42.572743Z",8167,7.013,"Research and Science","2024-10-29T14:26:42.572769Z"
"","Future-proofing of the Danish SHARE database","CARLSBERG",691848,"University of Southern Denmark","Research Infrastructure","","Jørgen Trankjær Lauridsen","","","","","",8176,8194,2023,1216,"1","2024-10-31T09:51:39.656710Z",8177,47.864,"Research and Science","2024-10-31T09:51:39.656749Z"
"","Carbon zoogeochemistry in the Arctic through time (CarbonZoo)","CARLSBERG",1394468,"University of Oxford","Reintegration Fellowships","","Jeppe Ågård Kristensen","","","","","",8180,8198,2023,1344,"1","2024-10-31T11:01:20.938735Z",8181,3.076,"Research and Science","2024-10-31T11:01:20.938761Z"
"","The Danish West Indian Missionary Creolistic Tradition: Investigating Moravian and Lutheran religious and secular texts in Virgin Islands Dutch Creole, 1765–1834","CARLSBERG",900000,"Utrecht University","Internationalisation Fellowships","","Kristoffer Friis Bøegh","","","","","",8216,8234,2023,311,"1","2024-10-28T14:54:27.546383Z",8217,94.743,"Research and Science","2024-10-28T14:54:27.546423Z"
"","Integrating multi-omic blood biomarker data to elucidate the biological pathways of mental disorders","CARLSBERG",1000000,"University of Oxford (UK)","Visiting Fellowships at University of Oxford","","Clara Albiñana","","","","","",8220,8238,2023,223,"1","2024-10-28T14:35:26.188075Z",8221,5.832,"Research and Science","2024-10-28T14:35:26.188107Z"
"","10 formler, der forandrede verden","CARLSBERG",285000,"DM Akademikerbladet og Forskerforum","Science Communication","","Troels Kølln","","","","","",8233,8251,2023,1736,"1","2024-11-01T14:35:53.401004Z",8234,3.739,"Education and public information","2024-11-01T14:35:53.401046Z"
"","Danish Cities in Ukraine","CARLSBERG",91000,"University of Copenhage","Field Trips / Research Stays < 100,000","","Martin Marcussen","","","","","",8240,8258,2023,344,"1","2024-10-29T10:55:34.156833Z",8241,10.553,"International Humanitarian","2024-10-29T10:55:34.156877Z"
"","Forskningspris 2023 – Forskningsbevilling","CARLSBERG",750000,"Aarhus University","Strategic Grants","","Jens-Christian Svenning","","","","","",8246,8264,2023,1805,"1","2024-11-01T15:40:11.328995Z",8247,2.294,"Research and Science","2024-11-01T15:40:11.329027Z"
"","The Constant Participant: Constructing and Affirming Identity through Material Culture in Ancient Greek Sanctuaries and Modern Museums.","CARLSBERG",80000,"The Danish Institute at Athe","Conferences","","Sanne Hoffmann","","","","","",8259,8277,2023,1078,"1","2024-10-31T07:52:10.051790Z",8260,41.436,"Education and public information","2024-10-31T07:52:10.051829Z"
"","Archaeological Expedition to Yaxchilan, Mexico","CARLSBERG",42990,"University of Copenhage","Field Trips / Research Stays < 100,000","","Christophe HELMKE","","","","","",8268,8286,2023,890,"1","2024-10-30T14:41:19.563486Z",8269,18.43,"Research and Science","2024-10-30T14:41:19.563511Z"
"","Individual insurance consulting with equal treatment and data protection","CARLSBERG",900000,"Johannes Kepler University Linz","Internationalisation Fellowships","","Debbie Kusch Falden","","","","","",8288,8306,2023,1122,"1","2024-10-31T09:12:29.189847Z",8289,18.949,"Business- and regional development","2024-10-31T09:12:29.189887Z"
"","New Legal Categories in Colombia’s Transitional Justice Institution, the JEP","CARLSBERG",80800,"Roskilde University","Field Trips / Research Stays < 100,000","","Kerstin Bree Carlson","","","","","",8312,8330,2023,1824,"1","2024-11-01T16:15:43.743800Z",8313,8.425,"Research and Science","2024-11-01T16:15:43.743846Z"
"","Understanding Innovativeness in a World of Artificial Intelligence (AI) – A consumer perspective","CARLSBERG",100000,"Aarhus University","Field Trips / Research Stays < 100,000","","Lina Fogt Jacobsen","","","","","",8313,8331,2023,1320,"1","2024-10-31T10:58:23.660112Z",8314,2.939,"Research and Science","2024-10-31T10:58:23.660140Z"
"","NordConsNet Workshop 2023","CARLSBERG",58000,"University of Southern Denmark","Conferences","","Marco Chiarandini","","","","","",8329,8347,2023,1360,"1","2024-10-31T11:15:48.363128Z",8330,6.024,"Education and public information","2024-10-31T11:15:48.363164Z"
"","Freden der ikke var. Om danskernes kolde krig","CARLSBERG",155000,"University of Copenhage","Publication","","Rasmus Mariager","","","","","",8340,8358,2023,1793,"1","2024-11-01T15:08:06.457230Z",8341,751.45,"Research and Science","2024-11-01T15:09:44.995409Z"
"","Post-Pandemic Transformations of Citizenship","CARLSBERG",49650,"Aalborg University","Conferences","","Leandros Fischer","","","","","",8366,8384,2023,1377,"1","2024-10-31T12:26:24.335798Z",8367,31.621,"Research and Science","2024-10-31T12:26:24.335840Z"
"","Solving Quantum Field Theory","CARLSBERG",19411000,"University of Southern Denmark","Semper Ardens: Advance","","Francesco Sannino","","","","","",8377,8395,2022,609,"1","2024-10-30T12:11:00.048767Z",8378,4.814,"Research and Science","2024-10-30T12:11:00.048811Z"
"","Chronic crises – An exploration of crises with no immediate end in sight","CARLSBERG",879980,"Roskilde University","Monograph Fellowships","","Olivier Rubin","","","","","",8391,8409,2022,942,"1","2024-10-30T15:03:48.384879Z",8392,37.364,"Research and Science","2024-10-30T15:03:48.384909Z"
"","Scanning electron microscope for Danish natural history museums","CARLSBERG",2192700,"University of Copenhage","Research Infrastructure","","Jørgen Olesen","","","","","",8401,8419,2022,615,"1","2024-10-30T12:12:47.895183Z",8402,11.377,"Education and public information","2024-10-30T12:12:47.895220Z"
"","Quantum-inspired algorithms: probably the best differential solvers in the world","CARLSBERG",4996432,"IT University of Denmark","Semper Ardens: Accelerate","","Michael Kastoryano","","","","","",8409,8427,2022,1022,"1","2024-10-30T15:19:37.817125Z",8410,5.338,"Research and Science","2024-10-30T15:19:37.817166Z"
"","Political Systems and Time: Timekeeping in Lebanon","CARLSBERG",754641,"Aalborg University","Monograph Fellowships","","Tamirace Fakhoury","","","","","",8437,8455,2022,1548,"1","2024-11-01T11:01:12.799348Z",8438,576.934,"Research and Science","2024-11-01T11:01:12.799387Z"
"","Dysfunctional neoepitope-specific T cells as targets for early Cancer Immunoprevention","CARLSBERG",1170000,"University College Lond","Internationalisation Fellowships","","Amalie Kai Bentzen","","","","","",8451,8469,2022,790,"1","2024-10-30T14:07:11.706154Z",8452,4.058,"Research and Science","2024-10-30T14:07:11.706181Z"
"","A Danish Reference Genome Sequencing Infrastructure","CARLSBERG",2253315,"University of Copenhage","Research Infrastructure","","Marcus Thomas Pius Gilbert","","","","","",8455,8473,2022,685,"1","2024-10-30T12:41:32.397258Z",8456,8.222,"Research and Science","2024-10-30T12:41:32.397283Z"
"","Non-Fungible Tokens: Assembling Digital Ownership, Scarcity and Uniqueness","CARLSBERG",1065000,"University of Southern Denmark","Monograph Fellowships","","Domen Bajde","","","","","",8464,8482,2022,230,"1","2024-10-28T14:36:31.523837Z",8465,4.669,"Research and Science","2024-10-28T14:36:31.523865Z"
"","Quantum Internet Platform","CARLSBERG",1124185,"Technical University of Denmark","Research Infrastructure","","Nika Akopian","","","","","",8467,8485,2022,2035,"1","2024-11-04T13:30:38.925992Z",8468,6.537,"Research and Science","2024-11-04T13:30:38.926017Z"
"","Utopien om det frie menneske. Historien om kulturradikalismen","CARLSBERG",790698,"University of Copenhage","Monograph Fellowships","","Torben Jelsbak","","","","","",8487,8505,2022,1943,"1","2024-11-04T11:18:14.711137Z",8488,657.575,"Culture","2024-11-04T11:18:14.711162Z"
"","A Singing Society? Communal Singing in Denmark and the Limits of Social Inclusion","CARLSBERG",4589701,"Aarhus University","Semper Ardens: Accelerate","","Lea Borčak","","","","","",8505,8523,2022,482,"1","2024-10-29T13:53:58.320477Z",8506,20.555,"Research and Science","2024-10-29T13:53:58.320515Z"
"","Cultural Persistence and the Historical Origins of Gender Roles","CARLSBERG",510000,"Stanford University","Internationalisation Fellowships","","Christoffer Cappelen","","","","","",8525,8543,2022,1389,"1","2024-10-31T12:29:02.175158Z",8526,7.406,"Research and Science","2024-10-31T12:29:02.175196Z"
"","Støtte til formidlingsprogram ifm. Glyptotekets 125-års jubilæum","CARLSBERG",250000,"","Carlsberg Mindelegat","","Glyptoteket, Gertrud Hvidberg-Hansen","","","","","",8641,8659,2022,603,"1","2024-10-30T12:10:30.457495Z",8642,9.106,"Culture","2024-10-30T12:10:30.457536Z"
"","Building a New Generation of Planetary Climate Models","CARLSBERG",65000,"Technical University of Denmark","Field Trips / Research Stays < 100,000","","Joao Manuel Mendonca","","","","","",8671,8689,2022,1356,"1","2024-10-31T11:15:33.015431Z",8672,7.482,"Research and Science","2024-10-31T11:15:33.015470Z"
"","Gastrophysics of taste as a driver for a green transition","CARLSBERG",425000,"University of Copenhage","Strategic Grants","","Ole G. Mouritsen","","","","","",8683,8701,2022,1380,"1","2024-10-31T12:27:06.217097Z",8684,36.442,"Education and public information","2024-10-31T12:27:06.217138Z"
"","The Political Economy of Digital Markets","CARLSBERG",60000,"University of Copenhage","Conferences","","Jacob Ørmen","","","","","",8684,8702,2022,524,"1","2024-10-29T14:24:44.464740Z",8685,9.928,"Research and Science","2024-10-29T14:24:44.464776Z"
"","Islamic Modernities in World Society. The Rise, Spread and Fragmentation of a Hegemonic Idea","CARLSBERG",1022000,"University of Southern Denmark","Monograph Fellowships","","Dietrich Jung","","","","","",8709,8727,2021,403,"1","2024-10-29T11:22:47.238138Z",8710,44.253,"Research and Science","2024-10-29T11:22:47.238169Z"
"","Involving a new generation in the production of knowledge on their own historical background using a protein-based approach on archaeological material","CARLSBERG",296938,"University of Copenhage","Research Infrastructure","","Luise Ørsted Brandt","","","","","",8720,8738,2021,242,"1","2024-10-28T14:37:57.922765Z",8721,4.137,"Research and Science","2024-10-28T14:37:57.922809Z"
"","Mineral facilitated horizontal gene transfer - a new principle for the evolution of life","CARLSBERG",4974280,"University of Copenhage","Semper Ardens: Accelerate","","Karina Krarup Sand","","","","","",8758,8776,2021,1867,"1","2024-11-01T16:29:18.365598Z",8759,2.203,"Research and Science","2024-11-01T16:29:18.365636Z"
"","Everyday Political Economy in Russia: from Capitalist Realism to a Micropolitics of Desire","CARLSBERG",865337,"Aarhus University","Monograph Fellowships","","Jeremy Morris","","","","","",8760,8778,2021,1053,"1","2024-10-31T07:47:59.875720Z",8761,7.333,"Research and Science","2024-10-31T07:47:59.875761Z"
"","Salon Sociability and State Bankruptcy: Women's diplomatic and political spaces in Denmark-Norway and abroad during the Napoleonic Wars - SALONDIPLOMACY","CARLSBERG",915385,"University of Oxford","Visiting Fellowships at University of Oxford","","Kristine Dyrmann","","","","","",8776,8794,2021,1552,"1","2024-11-01T11:02:07.948820Z",8777,21.6,"Research and Science","2024-11-01T11:02:07.948851Z"
"","A satellite for monitoring climate changes in and around Greenland","CARLSBERG",1233734,"Aarhus University","Research Infrastructure","","Christoffer Karoff","","","","","",8781,8799,2021,1717,"1","2024-11-01T14:34:30.951473Z",8782,5.794,"Nature Preservation and environment","2024-11-01T14:34:30.951511Z"
"","Next generation biogeochemical ice sheet field laboratory equipment: in-situ, near-real time assessment of microbial growth on the surface of the Greenland Ice Sheet.","CARLSBERG",691295,"Aarhus University","Research Infrastructure","","Martyn Tranter","","","","","",8790,8808,2021,655,"1","2024-10-30T12:32:00.636008Z",8791,4.185,"Research and Science","2024-10-30T12:32:00.637134Z"
"","Reactive Ion Etching of Nanodevices for Quantum Optics and Electronics","CARLSBERG",3407000,"University of Copenhage","Research Infrastructure","","Albert Schliesser","","","","","",8815,8833,2021,437,"1","2024-10-29T13:19:55.337121Z",8816,5.588,"Research and Science","2024-10-29T13:19:55.337164Z"
"","Family conflict and divorce in ethnic minority families: The Danish case.","CARLSBERG",746000,"VIVE - the Danish Center for Social Science Research","Monograph Fellowships","","Anika Liversage","","","","","",8819,8837,2021,780,"1","2024-10-30T14:00:46.237360Z",8820,8.422,"Research and Science","2024-10-30T14:00:46.237427Z"
"","Corporate Subjects: An Intellectual History of the Corporation","CARLSBERG",3900938,"Copenhagen Business School","Semper Ardens: Accelerate","","Mathias Hein Jessen","","","","","",8831,8849,2021,720,"1","2024-10-30T13:37:56.597664Z",8832,215.722,"Research and Science","2024-10-30T13:37:56.597690Z"
"","A Confocal Raman Microscope for Structured Biointerfaces and Drug Particle Research","CARLSBERG",2002830,"University of Copenhage","Research Infrastructure","","Ben Boyd","","","","","",8844,8862,2021,1077,"1","2024-10-31T07:51:22.383308Z",8845,13.93,"Research and Science","2024-10-31T07:51:22.383351Z"
"","The Ancient Harbours of the Piraeus, Volume IV","CARLSBERG",725000,"The Danish Institute at Athe","Field Trips / Research Stays >100,000","","Bjørn Lovén","","","","","",8854,8872,2021,1466,"1","2024-10-31T14:48:48.034483Z",8855,928.894,"Culture","2024-10-31T14:48:48.034516Z"
"","The Structure and Development of 21st Century Science","CARLSBERG",946399,"University of Copenhage","Monograph Fellowships","","Hanne Andersen","","","","","",8882,8900,2021,1529,"1","2024-11-01T10:43:17.416881Z",8883,6.27,"Research and Science","2024-11-01T10:43:17.416931Z"
"","Recycling GPC size-exclusion equipment","CARLSBERG",710000,"University of Copenhage","Research Infrastructure","","Michael Pittelkow","","","","","",8932,8950,2021,575,"1","2024-10-29T14:37:32.860073Z",8933,48.416,"","2024-10-29T14:37:32.860105Z"
"","Vascular calcium sensitivity and intercellular communication in aging","CARLSBERG",261000,"University of Copenhage","Research Infrastructure","","Lars Jørn Jensen","","","","","",8943,8961,2021,304,"1","2024-10-28T14:51:57.089263Z",8944,3.298,"Research and Science","2024-10-28T14:51:57.089291Z"
"","High Resolution Automated Greenhouse Gas Analysers for Freshwater Ecosystems","CARLSBERG",668858,"Aarhus University","Research Infrastructure","","Brian Sorrell","","","","","",8953,8971,2021,208,"1","2024-10-28T14:29:37.526027Z",8954,3.627,"Research and Science","2024-10-28T14:29:37.526068Z"
"","Improving the Quality of Employability Research in Disadvantaged Communities in South Africa and Beyond","CARLSBERG",133000,"University of Southern Denmark","Research Infrastructure","","Michael Brookes","","","","","",8954,8972,2021,1241,"1","2024-10-31T09:54:51.492285Z",8955,10.975,"International Other","2024-10-31T09:54:51.492324Z"
